,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari,percent,fkgl,bleu,sari
0,10.0,4.270009999999997,0.10681600000000001,0.3469630000000005,10.0,4.743305,0.10711400000000003,0.34705700000000056,10.0,4.611093,0.10685699999999995,0.34705900000000034,10.0,4.287626999999999,0.10629500000000004,0.3469510000000005,10.0,4.729456,0.10622799999999993,0.3470060000000004,10.0,4.123176999999998,0.10595599999999995,0.3470300000000005
1,50.0,2.6542249999999994,0.10022500000000005,0.34678799999999993,50.0,4.620409999999996,0.10137000000000006,0.34712900000000035,50.0,3.9509010000000013,0.101665,0.34719900000000037,50.0,2.7272639999999986,0.09856600000000004,0.3466429999999998,50.0,4.542967,0.09822700000000008,0.3469360000000002,50.0,1.928617,0.095733,0.3471160000000004
2,100.0,1.3487599999999995,0.089582,0.34652099999999963,100.0,4.8673879999999965,0.09195199999999998,0.34726400000000024,100.0,3.124099999999999,0.09480000000000002,0.3474000000000003,100.0,1.452401,0.08844400000000001,0.3461929999999998,100.0,4.313715,0.08813899999999995,0.34681200000000006,100.0,-0.06767799999999997,0.08041000000000001,0.3471230000000004
