,fkgl,bleu,sari
0,4.2619,0.107,0.347
1,4.2701,0.1066,0.3469
2,4.2666,0.1069,0.3469
3,4.2736,0.1063,0.3469
4,4.2724,0.1064,0.3469
5,4.2677,0.107,0.347
6,4.2689,0.1059,0.3468
7,4.2736,0.107,0.347
8,4.2689,0.1069,0.347
9,4.2701,0.1066,0.3469
10,4.2677,0.1074,0.3471
11,4.2666,0.1062,0.3469
12,4.2747,0.1068,0.347
13,4.2677,0.1069,0.3469
14,4.2712,0.1072,0.347
15,4.2712,0.1068,0.3469
16,4.2642,0.1068,0.3469
17,4.2747,0.107,0.347
18,4.2701,0.1066,0.3469
19,4.2759,0.1066,0.3469
20,4.2666,0.1066,0.3469
21,4.2782,0.1063,0.3468
22,4.2712,0.1075,0.347
23,4.2689,0.1071,0.347
24,4.2724,0.1069,0.347
25,4.2724,0.1068,0.347
26,4.2677,0.107,0.347
27,4.2701,0.1072,0.347
28,4.2712,0.107,0.347
29,4.2666,0.1066,0.3469
30,4.2712,0.1066,0.347
31,4.2677,0.1062,0.3469
32,4.2654,0.1062,0.3469
33,4.2794,0.1071,0.347
34,4.2701,0.1068,0.347
35,4.2642,0.1065,0.3469
36,4.2689,0.1065,0.347
37,4.2689,0.1071,0.347
38,4.2747,0.1072,0.347
39,4.2677,0.1066,0.347
40,4.2712,0.107,0.347
41,4.2689,0.1062,0.3468
42,4.2666,0.1067,0.347
43,4.2701,0.1073,0.3471
44,4.2631,0.1059,0.3469
45,4.2677,0.106,0.3468
46,4.2736,0.1065,0.3469
47,4.2677,0.1072,0.3471
48,4.2666,0.1063,0.3468
49,4.2701,0.107,0.347
50,4.2654,0.1065,0.3469
51,4.2724,0.1062,0.3469
52,4.2771,0.1074,0.347
53,4.2677,0.1066,0.3469
54,4.2677,0.1066,0.347
55,4.2724,0.107,0.347
56,4.2771,0.1069,0.3469
57,4.2701,0.1068,0.347
58,4.2701,0.1065,0.3469
59,4.2701,0.1071,0.3471
60,4.2724,0.1065,0.3469
61,4.2712,0.1065,0.3469
62,4.2689,0.1071,0.347
63,4.2689,0.1075,0.347
64,4.2677,0.1072,0.347
65,4.2654,0.1064,0.3469
66,4.2701,0.1076,0.3471
67,4.2747,0.1072,0.3471
68,4.2666,0.107,0.347
69,4.2712,0.1069,0.3469
70,4.2677,0.1061,0.3469
71,4.2654,0.1063,0.3469
72,4.2759,0.1074,0.347
73,4.2666,0.1068,0.347
74,4.2712,0.1069,0.3471
75,4.2689,0.1065,0.3469
76,4.2677,0.1067,0.347
77,4.2712,0.1064,0.3469
78,4.2666,0.1066,0.3469
79,4.2701,0.1069,0.3469
80,4.2736,0.1075,0.3471
81,4.2689,0.1074,0.347
82,4.2747,0.1067,0.347
83,4.2666,0.1063,0.3469
84,4.2666,0.1066,0.3469
85,4.2782,0.1076,0.3471
86,4.2736,0.1066,0.347
87,4.2736,0.1072,0.347
88,4.2736,0.1068,0.347
89,4.2736,0.1073,0.347
90,4.2689,0.1069,0.3469
91,4.2701,0.1067,0.3469
92,4.2736,0.1071,0.347
93,4.2666,0.1075,0.3471
94,4.2689,0.1062,0.3469
95,4.2689,0.1072,0.347
96,4.2677,0.1065,0.347
97,4.2666,0.1075,0.347
98,4.2724,0.1076,0.347
99,4.2689,0.1075,0.3471
