,fkgl,bleu,sari
0,1.962,0.2045,0.3613
1,1.9788,0.2044,0.3614
2,1.9868,0.2034,0.3612
3,1.9602,0.2024,0.3611
4,1.9744,0.203,0.3611
5,1.9761,0.2045,0.3616
6,1.9637,0.2028,0.3609
7,1.9735,0.2028,0.3611
8,1.9886,0.2027,0.361
9,1.9699,0.2044,0.3614
10,1.9788,0.2018,0.3609
11,1.9664,0.2039,0.3613
12,1.9584,0.2038,0.3612
13,1.9717,0.2017,0.3609
14,1.9744,0.2052,0.3614
15,1.9779,0.2034,0.3614
16,1.9681,0.2035,0.3612
17,1.9699,0.2039,0.3612
18,1.977,0.2034,0.3611
19,1.9744,0.2013,0.361
20,1.9655,0.2029,0.3611
21,1.9877,0.2033,0.3612
22,1.9726,0.2024,0.3611
23,1.9681,0.2034,0.3611
24,1.9646,0.203,0.3613
25,1.9655,0.2034,0.3613
26,1.9708,0.2043,0.3612
27,1.977,0.2026,0.361
28,1.9708,0.2062,0.3618
29,1.9717,0.2023,0.361
30,1.969,0.2029,0.3612
31,1.9744,0.2031,0.3612
32,1.9761,0.2032,0.3611
33,1.9868,0.2012,0.3611
34,1.9859,0.2035,0.3611
35,1.9797,0.2043,0.3613
36,1.962,0.2033,0.3612
37,1.993,0.2028,0.3609
38,1.9735,0.2033,0.3612
39,1.9699,0.2045,0.3614
40,1.9806,0.2065,0.3614
41,1.9611,0.2027,0.361
42,1.9735,0.2036,0.3612
43,1.9806,0.2031,0.3611
44,1.9859,0.2018,0.361
45,1.9655,0.2045,0.3614
46,1.9752,0.2031,0.3611
47,1.9761,0.2033,0.3611
48,1.985,0.2039,0.3613
49,1.9797,0.2014,0.3609
50,1.9797,0.2034,0.3612
51,1.969,0.2033,0.361
52,1.9823,0.203,0.3612
53,1.9708,0.2031,0.3611
54,1.9832,0.2023,0.3611
55,1.9708,0.2044,0.3614
56,1.9823,0.2029,0.361
57,1.969,0.2025,0.3611
58,1.9717,0.2037,0.3612
59,1.9752,0.2042,0.3612
60,1.9708,0.2028,0.3612
61,1.9717,0.204,0.3613
62,1.9708,0.2032,0.3613
63,1.9735,0.2067,0.3617
64,1.9752,0.2021,0.3611
65,1.9788,0.2021,0.3611
66,1.9628,0.2034,0.3611
67,1.9752,0.2025,0.3609
68,1.9921,0.2071,0.3617
69,1.9797,0.2032,0.3612
70,1.9735,0.2022,0.3609
71,1.9708,0.2015,0.361
72,1.9708,0.2029,0.3612
73,1.977,0.2023,0.361
74,1.9673,0.2054,0.3615
75,1.9726,0.2046,0.3615
76,1.9681,0.2023,0.3611
77,1.9806,0.2013,0.3609
78,1.9708,0.2037,0.3613
79,1.9646,0.2052,0.3613
80,1.969,0.2049,0.3613
81,1.9797,0.2044,0.3612
82,1.9752,0.2035,0.3612
83,1.9699,0.2022,0.3609
84,1.9699,0.2025,0.3609
85,1.977,0.2033,0.3615
86,1.9744,0.2028,0.361
87,1.969,0.2027,0.3613
88,1.9717,0.2042,0.3613
89,1.9877,0.2031,0.3611
90,1.9832,0.2022,0.3609
91,1.9761,0.2024,0.361
92,1.9664,0.2038,0.3611
93,1.9752,0.2014,0.361
94,1.985,0.2017,0.3609
95,1.9806,0.2041,0.361
96,1.9628,0.2041,0.3612
97,1.9735,0.2015,0.3608
98,1.9761,0.2032,0.3611
99,1.9779,0.2048,0.3614
