,fkgl,bleu,sari
0,4.5448,0.233,0.3626
1,4.5429,0.2341,0.3628
2,4.5438,0.2329,0.3626
3,4.54,0.2333,0.3626
4,4.5419,0.233,0.3626
5,4.5487,0.2337,0.3627
6,4.541,0.2329,0.3625
7,4.5458,0.2332,0.3627
8,4.5477,0.2332,0.3628
9,4.5419,0.2326,0.3626
10,4.5448,0.2331,0.3628
11,4.539,0.2334,0.3627
12,4.5429,0.2338,0.3628
13,4.5429,0.2329,0.3626
14,4.5419,0.2331,0.3627
15,4.5419,0.2329,0.3626
16,4.54,0.233,0.3627
17,4.54,0.2317,0.3625
18,4.5429,0.2324,0.3626
19,4.5458,0.2336,0.3627
20,4.54,0.2324,0.3625
21,4.5438,0.2341,0.3628
22,4.5438,0.2324,0.3625
23,4.541,0.2328,0.3626
24,4.5438,0.2332,0.3627
25,4.5429,0.2339,0.3627
26,4.5381,0.2332,0.3627
27,4.54,0.23199999999999998,0.3625
28,4.541,0.2337,0.3627
29,4.5458,0.2324,0.3626
30,4.5381,0.2332,0.3626
31,4.5419,0.2329,0.3626
32,4.539,0.2329,0.3626
33,4.541,0.2324,0.3625
34,4.54,0.2327,0.3626
35,4.5419,0.2323,0.3626
36,4.5429,0.2322,0.3625
37,4.5419,0.2331,0.3626
38,4.5458,0.2327,0.3625
39,4.541,0.2328,0.3626
40,4.5429,0.2327,0.3626
41,4.5429,0.2338,0.3627
42,4.54,0.2326,0.3626
43,4.541,0.2331,0.3626
44,4.54,0.2329,0.3626
45,4.5506,0.2325,0.3626
46,4.5448,0.2326,0.3626
47,4.5525,0.2325,0.3626
48,4.541,0.2327,0.3626
49,4.5467,0.2332,0.3627
50,4.541,0.2328,0.3627
51,4.5381,0.2334,0.3626
52,4.5458,0.2334,0.3626
53,4.541,0.2334,0.3626
54,4.5419,0.2336,0.3627
55,4.5467,0.233,0.3626
56,4.541,0.2326,0.3626
57,4.5458,0.2325,0.3626
58,4.5458,0.2335,0.3628
59,4.5419,0.2337,0.3627
60,4.5419,0.2325,0.3626
61,4.54,0.2334,0.3626
62,4.5429,0.2325,0.3626
63,4.5419,0.2335,0.3627
64,4.5419,0.2332,0.3627
65,4.539,0.233,0.3626
66,4.54,0.233,0.3626
67,4.5371,0.2333,0.3627
68,4.5467,0.2336,0.3627
69,4.5458,0.2335,0.3626
70,4.5458,0.2324,0.3626
71,4.541,0.2331,0.3627
72,4.5458,0.2325,0.3625
73,4.5448,0.2325,0.3626
74,4.5448,0.2323,0.3626
75,4.539,0.2337,0.3628
76,4.5381,0.2334,0.3627
77,4.5429,0.2324,0.3626
78,4.541,0.2328,0.3626
79,4.5419,0.2329,0.3626
80,4.5438,0.2328,0.3626
81,4.54,0.2325,0.3626
82,4.5448,0.2326,0.3626
83,4.5467,0.2316,0.3625
84,4.5361,0.2337,0.3627
85,4.539,0.2333,0.3628
86,4.5496,0.2336,0.3627
87,4.541,0.2327,0.3626
88,4.54,0.2332,0.3627
89,4.541,0.2322,0.3625
90,4.5458,0.2334,0.3627
91,4.5438,0.2327,0.3625
92,4.541,0.2338,0.3628
93,4.5371,0.2332,0.3626
94,4.5429,0.233,0.3627
95,4.5467,0.2333,0.3627
96,4.541,0.2327,0.3626
97,4.5487,0.2339,0.3628
98,4.5438,0.2335,0.3627
99,4.539,0.2335,0.3627
