,fkgl,bleu,sari
0,2.6489,0.0993,0.3466
1,2.6555,0.102,0.347
2,2.6654,0.101,0.3468
3,2.6434,0.1002,0.3467
4,2.6467,0.1006,0.3469
5,2.6478,0.1025,0.3472
6,2.6599,0.1015,0.347
7,2.6522,0.1011,0.347
8,2.6533,0.1013,0.347
9,2.65,0.1002,0.3468
10,2.6467,0.0983,0.3465
11,2.6588,0.1014,0.3469
12,2.6588,0.0997,0.3468
13,2.6555,0.1007,0.3468
14,2.6577,0.099,0.3467
15,2.6456,0.1006,0.3468
16,2.6489,0.1011,0.3469
17,2.6544,0.1001,0.3468
18,2.6676,0.0984,0.3465
19,2.6522,0.1001,0.3468
20,2.6599,0.0995,0.3467
21,2.6511,0.0992,0.3467
22,2.6401,0.0986,0.3466
23,2.6423,0.1009,0.3468
24,2.6511,0.0995,0.3466
25,2.6467,0.0989,0.3467
26,2.6555,0.1007,0.3469
27,2.6566,0.1003,0.3468
28,2.6522,0.1016,0.347
29,2.6632,0.1002,0.3469
30,2.6643,0.1006,0.3468
31,2.6533,0.0992,0.3466
32,2.6599,0.0999,0.3465
33,2.6489,0.1001,0.3466
34,2.6566,0.0989,0.3467
35,2.6522,0.0987,0.3466
36,2.6522,0.1003,0.3467
37,2.65,0.1006,0.3469
38,2.6467,0.1012,0.3468
39,2.6588,0.1005,0.347
40,2.6336,0.0994,0.3467
41,2.6621,0.0999,0.3466
42,2.6566,0.0995,0.3467
43,2.6588,0.1013,0.3469
44,2.6544,0.1011,0.3469
45,2.6489,0.1005,0.3468
46,2.6588,0.0994,0.3466
47,2.6555,0.0995,0.3467
48,2.672,0.0989,0.3466
49,2.6445,0.0999,0.3467
50,2.6566,0.0999,0.3466
51,2.6511,0.0996,0.3466
52,2.6621,0.1003,0.3468
53,2.6544,0.1008,0.3468
54,2.6632,0.0998,0.3468
55,2.6511,0.1005,0.3468
56,2.661,0.0989,0.3467
57,2.6566,0.1016,0.347
58,2.6599,0.1014,0.347
59,2.6599,0.1008,0.3469
60,2.6566,0.1012,0.3469
61,2.6522,0.0995,0.3466
62,2.6621,0.1005,0.3468
63,2.65,0.1009,0.3468
64,2.6599,0.1008,0.347
65,2.6643,0.1005,0.3468
66,2.6566,0.1009,0.3469
67,2.6489,0.1002,0.3467
68,2.6522,0.1008,0.3469
69,2.6489,0.1002,0.3468
70,2.6555,0.1001,0.3468
71,2.6511,0.1005,0.3469
72,2.6412,0.1009,0.3468
73,2.661,0.0989,0.3467
74,2.661,0.0993,0.3466
75,2.6478,0.0997,0.3467
76,2.6467,0.0995,0.3467
77,2.6533,0.1,0.3468
78,2.6511,0.1006,0.347
79,2.6566,0.0991,0.3467
80,2.6522,0.1001,0.3466
81,2.6544,0.102,0.3471
82,2.6445,0.0997,0.3466
83,2.6577,0.0999,0.3468
84,2.6566,0.0994,0.3468
85,2.6445,0.0997,0.3467
86,2.6522,0.0997,0.3467
87,2.661,0.101,0.3468
88,2.6599,0.0994,0.3467
89,2.6566,0.0995,0.3468
90,2.6577,0.101,0.3469
91,2.65,0.1009,0.3468
92,2.6445,0.0993,0.3468
93,2.6566,0.1008,0.3469
94,2.6632,0.101,0.3468
95,2.6533,0.1,0.3468
96,2.6621,0.0991,0.3466
97,2.6522,0.1021,0.3471
98,2.6544,0.1014,0.3471
99,2.6599,0.1009,0.3469
