,fkgl,bleu,sari
0,2.0492,0.209,0.3615
1,2.0734,0.207,0.3613
2,2.051,0.2076,0.3614
3,2.0627,0.2076,0.3615
4,2.0618,0.2081,0.3613
5,2.0582,0.2065,0.3612
6,2.0573,0.2076,0.3611
7,2.06,0.2078,0.3613
8,2.0501,0.20800000000000002,0.3614
9,2.0537,0.20600000000000002,0.3613
10,2.0698,0.2087,0.3615
11,2.0627,0.2086,0.3616
12,2.0672,0.2065,0.361
13,2.0672,0.2071,0.3613
14,2.0779,0.2058,0.361
15,2.0689,0.2078,0.3614
16,2.0591,0.2068,0.3612
17,2.06,0.2088,0.3614
18,2.0591,0.2065,0.3612
19,2.0537,0.2064,0.3612
20,2.06,0.2074,0.3614
21,2.0582,0.2059,0.3612
22,2.0609,0.2073,0.3613
23,2.0564,0.2065,0.3613
24,2.051,0.2093,0.3615
25,2.0546,0.2051,0.3608
26,2.0743,0.2057,0.3613
27,2.0645,0.2071,0.3614
28,2.0618,0.2095,0.3616
29,2.0627,0.2081,0.3614
30,2.0672,0.2063,0.3612
31,2.0698,0.2055,0.3611
32,2.0707,0.2055,0.3612
33,2.0573,0.2082,0.3613
34,2.0663,0.2098,0.3617
35,2.0564,0.2082,0.3614
36,2.051,0.2091,0.3615
37,2.0519,0.2085,0.3615
38,2.0663,0.2064,0.3612
39,2.0618,0.2085,0.3614
40,2.0564,0.2091,0.3615
41,2.0483,0.2092,0.3614
42,2.0618,0.2087,0.3615
43,2.0564,0.2066,0.361
44,2.0725,0.2079,0.3615
45,2.0519,0.2091,0.3616
46,2.0663,0.20600000000000002,0.3612
47,2.068,0.2099,0.3615
48,2.0654,0.2074,0.3613
49,2.0636,0.2082,0.3615
50,2.0519,0.2073,0.3611
51,2.0618,0.2076,0.3613
52,2.0636,0.2066,0.3613
53,2.0707,0.2059,0.3613
54,2.0609,0.2081,0.3615
55,2.0654,0.2061,0.3611
56,2.0528,0.2085,0.3615
57,2.0483,0.2078,0.3613
58,2.0492,0.2087,0.3614
59,2.0591,0.20800000000000002,0.3615
60,2.0528,0.2096,0.3615
61,2.0654,0.20800000000000002,0.3614
62,2.0555,0.2049,0.3611
63,2.0591,0.205,0.3611
64,2.0385,0.2078,0.3615
65,2.0663,0.2063,0.3611
66,2.0654,0.20800000000000002,0.3615
67,2.0645,0.209,0.3616
68,2.0555,0.2062,0.3613
69,2.0465,0.2059,0.3611
70,2.0591,0.207,0.3614
71,2.068,0.2078,0.3613
72,2.0654,0.2078,0.3612
73,2.0519,0.2084,0.3617
74,2.0537,0.2076,0.3613
75,2.0582,0.2062,0.3613
76,2.0609,0.2057,0.361
77,2.0663,0.21,0.3616
78,2.0528,0.2069,0.3611
79,2.0698,0.2077,0.3615
80,2.0474,0.2089,0.3617
81,2.0689,0.2072,0.3613
82,2.0483,0.2078,0.3617
83,2.0447,0.2076,0.3613
84,2.0447,0.2079,0.3615
85,2.0618,0.2063,0.3611
86,2.0591,0.2068,0.3612
87,2.0465,0.2074,0.3614
88,2.0654,0.2072,0.3614
89,2.0609,0.2086,0.3613
90,2.0582,0.207,0.3613
91,2.0519,0.2069,0.3614
92,2.0654,0.2055,0.3611
93,2.0582,0.2082,0.3612
94,2.0573,0.2089,0.3614
95,2.0573,0.2082,0.3614
96,2.0636,0.2093,0.3616
97,2.051,0.20800000000000002,0.3615
98,2.0654,0.2072,0.3613
99,2.0537,0.2095,0.3615
