,fkgl,bleu,sari
0,2.5293,0.2107,0.3613
1,2.5393,0.2131,0.3619
2,2.5439,0.2138,0.3619
3,2.5411,0.2134,0.3618
4,2.5484,0.213,0.3617
5,2.5321,0.2127,0.3615
6,2.5284,0.2118,0.3617
7,2.5312,0.2128,0.3616
8,2.5312,0.2125,0.3617
9,2.5284,0.2113,0.3616
10,2.5257,0.2121,0.3617
11,2.5366,0.2124,0.3616
12,2.5321,0.2129,0.3617
13,2.5439,0.2124,0.3616
14,2.5284,0.2114,0.3614
15,2.5303,0.2108,0.3613
16,2.5303,0.2124,0.3618
17,2.5393,0.212,0.3616
18,2.5393,0.2105,0.3614
19,2.5339,0.2121,0.3617
20,2.5321,0.2107,0.3615
21,2.5339,0.2114,0.3616
22,2.5321,0.2115,0.3615
23,2.5384,0.2139,0.3619
24,2.5421,0.2122,0.3617
25,2.5357,0.2096,0.3611
26,2.5275,0.2134,0.3617
27,2.5348,0.2123,0.3617
28,2.533,0.2107,0.3613
29,2.5348,0.2097,0.3613
30,2.5357,0.2128,0.3618
31,2.5402,0.2122,0.3616
32,2.5411,0.2132,0.3617
33,2.5384,0.2128,0.3617
34,2.5348,0.2113,0.3615
35,2.5366,0.2116,0.3616
36,2.533,0.2125,0.3618
37,2.5421,0.212,0.3617
38,2.5375,0.2116,0.3615
39,2.5348,0.2112,0.3616
40,2.5266,0.21100000000000002,0.3614
41,2.5293,0.2127,0.3617
42,2.5393,0.2131,0.3619
43,2.533,0.2106,0.3612
44,2.543,0.2109,0.3614
45,2.5421,0.2105,0.3613
46,2.5411,0.2116,0.3615
47,2.5339,0.2124,0.3616
48,2.5339,0.2104,0.3614
49,2.5384,0.21100000000000002,0.3614
50,2.533,0.2115,0.3616
51,2.5312,0.2112,0.3614
52,2.5384,0.2126,0.3617
53,2.533,0.2106,0.3611
54,2.5284,0.2108,0.3616
55,2.5366,0.2102,0.3615
56,2.5284,0.2133,0.3616
57,2.5493,0.2121,0.3615
58,2.5312,0.2114,0.3617
59,2.5448,0.212,0.3616
60,2.5366,0.2129,0.3618
61,2.5411,0.2109,0.3616
62,2.5239,0.2128,0.3618
63,2.5348,0.2114,0.3614
64,2.533,0.2114,0.3614
65,2.5402,0.2125,0.3617
66,2.5321,0.2114,0.3615
67,2.5466,0.2106,0.3614
68,2.533,0.2135,0.3618
69,2.5466,0.2121,0.3617
70,2.5357,0.2106,0.3614
71,2.5339,0.2122,0.3617
72,2.5421,0.2125,0.3618
73,2.5375,0.2106,0.3614
74,2.5248,0.2127,0.3616
75,2.543,0.2126,0.3615
76,2.5421,0.2125,0.3616
77,2.5303,0.2114,0.3615
78,2.5357,0.2119,0.3615
79,2.5293,0.2123,0.3616
80,2.5257,0.2109,0.3615
81,2.5402,0.2144,0.36200000000000004
82,2.5421,0.2112,0.3616
83,2.5393,0.2129,0.3618
84,2.5284,0.2131,0.3619
85,2.5366,0.2125,0.3617
86,2.5439,0.2121,0.3617
87,2.5393,0.2109,0.3615
88,2.5466,0.2113,0.3615
89,2.5411,0.2098,0.3611
90,2.533,0.212,0.3615
91,2.5448,0.2123,0.3617
92,2.5339,0.2102,0.3612
93,2.5312,0.2117,0.3616
94,2.5293,0.213,0.3618
95,2.5321,0.2128,0.3618
96,2.5357,0.2113,0.3616
97,2.5393,0.2121,0.3615
98,2.5339,0.2101,0.3613
99,2.5366,0.2123,0.3614
