,fkgl,bleu,sari
0,1.3566,0.0905,0.3466
1,1.3433,0.0889,0.3465
2,1.3525,0.0882,0.3463
3,1.3514,0.0906,0.3467
4,1.3433,0.0894,0.3465
5,1.3535,0.0912,0.3468
6,1.3453,0.0899,0.3466
7,1.3514,0.0896,0.3464
8,1.3473,0.0886,0.3465
9,1.3433,0.0882,0.3463
10,1.3617,0.0891,0.3464
11,1.3545,0.0893,0.3465
12,1.3473,0.0897,0.3465
13,1.3412,0.0914,0.3467
14,1.3473,0.091,0.3468
15,1.3473,0.0887,0.3464
16,1.3504,0.0913,0.3467
17,1.3525,0.0892,0.3465
18,1.3678,0.0891,0.3464
19,1.3494,0.0884,0.3462
20,1.3586,0.0895,0.3466
21,1.3504,0.0891,0.3463
22,1.3392,0.0904,0.3467
23,1.3371,0.0895,0.3466
24,1.3433,0.0885,0.3463
25,1.3576,0.09,0.3466
26,1.3473,0.0887,0.3464
27,1.3555,0.0891,0.3464
28,1.3422,0.0895,0.3465
29,1.3443,0.0889,0.3465
30,1.3433,0.089,0.3464
31,1.3433,0.0882,0.3462
32,1.3422,0.0888,0.3465
33,1.3412,0.0906,0.3467
34,1.3504,0.0887,0.3464
35,1.3576,0.0898,0.3466
36,1.3473,0.0893,0.3464
37,1.3514,0.0924,0.347
38,1.3484,0.0892,0.3465
39,1.3443,0.0883,0.3465
40,1.3484,0.0899,0.3465
41,1.3433,0.0908,0.3466
42,1.3473,0.0905,0.3467
43,1.3433,0.0904,0.3466
44,1.3514,0.0916,0.3467
45,1.3555,0.0881,0.3464
46,1.3392,0.0879,0.3464
47,1.3453,0.0899,0.3466
48,1.3586,0.0909,0.3467
49,1.3473,0.0902,0.3467
50,1.3433,0.0895,0.3466
51,1.3525,0.0888,0.3464
52,1.3607,0.0907,0.3467
53,1.3463,0.0913,0.3468
54,1.3637,0.0906,0.3467
55,1.3545,0.0889,0.3465
56,1.3412,0.0906,0.3466
57,1.3473,0.091,0.3467
58,1.3422,0.0909,0.3466
59,1.3361,0.0889,0.3464
60,1.3504,0.0897,0.3465
61,1.3535,0.0909,0.3467
62,1.3453,0.0894,0.3465
63,1.3443,0.0904,0.3467
64,1.3422,0.0883,0.3462
65,1.3545,0.0891,0.3466
66,1.3535,0.0888,0.3464
67,1.3535,0.0887,0.3464
68,1.3535,0.0895,0.3464
69,1.3545,0.0894,0.3465
70,1.3473,0.0889,0.3464
71,1.3392,0.0901,0.3465
72,1.3392,0.0877,0.3462
73,1.3443,0.09,0.3466
74,1.3463,0.0904,0.3467
75,1.3484,0.0894,0.3466
76,1.3412,0.0882,0.3462
77,1.3453,0.0884,0.3465
78,1.3484,0.0872,0.3461
79,1.3545,0.0897,0.3466
80,1.3473,0.0896,0.3465
81,1.3453,0.0882,0.3463
82,1.3504,0.0908,0.3467
83,1.3433,0.0882,0.3464
84,1.3381,0.0908,0.3467
85,1.3402,0.0904,0.3467
86,1.3422,0.0875,0.3463
87,1.3555,0.0902,0.3465
88,1.3586,0.0913,0.3468
89,1.3463,0.0898,0.3465
90,1.3514,0.0907,0.3467
91,1.3535,0.0912,0.3467
92,1.3607,0.0901,0.3467
93,1.3484,0.0891,0.3463
94,1.3658,0.0893,0.3464
95,1.3433,0.0907,0.3468
96,1.3545,0.0893,0.3465
97,1.3576,0.0889,0.3464
98,1.3443,0.0887,0.3464
99,1.3504,0.088,0.3462
