,fkgl,bleu,sari
0,4.6203,0.1016,0.3471
1,4.6181,0.102,0.3473
2,4.6206,0.1023,0.3472
3,4.6192,0.1011,0.347
4,4.6181,0.1025,0.3474
5,4.6158,0.1014,0.3473
6,4.6195,0.1014,0.3472
7,4.6203,0.1001,0.3471
8,4.6192,0.1017,0.3472
9,4.6183,0.1007,0.347
10,4.6203,0.0998,0.3469
11,4.6214,0.1026,0.3472
12,4.6226,0.101,0.3469
13,4.6217,0.1012,0.3473
14,4.6228,0.1011,0.3471
15,4.6228,0.1009,0.3471
16,4.6203,0.1013,0.347
17,4.6195,0.1007,0.347
18,4.6192,0.1034,0.3473
19,4.6203,0.1014,0.3471
20,4.6181,0.1017,0.3472
21,4.6217,0.101,0.3471
22,4.6206,0.1009,0.347
23,4.6228,0.1016,0.3472
24,4.6228,0.1023,0.3473
25,4.6203,0.1008,0.3471
26,4.6203,0.101,0.3472
27,4.6195,0.1017,0.3472
28,4.6206,0.1007,0.3471
29,4.6217,0.1031,0.3474
30,4.6228,0.1013,0.347
31,4.615,0.1013,0.3471
32,4.6192,0.1003,0.3469
33,4.6169,0.1013,0.3471
34,4.6169,0.1025,0.3472
35,4.6228,0.1014,0.3471
36,4.6181,0.102,0.3471
37,4.6169,0.1011,0.3471
38,4.6195,0.1009,0.347
39,4.6214,0.1015,0.3473
40,4.6206,0.1019,0.3474
41,4.6217,0.1012,0.3471
42,4.6195,0.1026,0.3472
43,4.6228,0.1016,0.3471
44,4.6195,0.1012,0.3469
45,4.6203,0.1012,0.347
46,4.6169,0.1004,0.3471
47,4.6217,0.1013,0.3472
48,4.6237,0.1016,0.3473
49,4.6195,0.1013,0.3471
50,4.6181,0.1003,0.3471
51,4.6217,0.1012,0.3472
52,4.6192,0.1021,0.3471
53,4.6181,0.1013,0.3471
54,4.6226,0.102,0.3472
55,4.6228,0.1007,0.3468
56,4.6195,0.1014,0.3472
57,4.6183,0.1013,0.3472
58,4.6226,0.1008,0.347
59,4.6203,0.1033,0.3474
60,4.6214,0.1019,0.3472
61,4.6228,0.0998,0.3469
62,4.6195,0.1029,0.3474
63,4.6226,0.1018,0.3472
64,4.6217,0.1012,0.3473
65,4.6192,0.1023,0.3474
66,4.6217,0.1021,0.3471
67,4.6206,0.1015,0.3471
68,4.6203,0.1016,0.347
69,4.6172,0.0997,0.3469
70,4.6195,0.0999,0.3469
71,4.6214,0.1014,0.3473
72,4.6195,0.103,0.3473
73,4.6214,0.1012,0.3472
74,4.6226,0.1009,0.3469
75,4.6195,0.101,0.3471
76,4.6172,0.1013,0.3471
77,4.6217,0.1023,0.347
78,4.6217,0.1023,0.3474
79,4.6206,0.1013,0.3472
80,4.6217,0.1017,0.3473
81,4.6206,0.1007,0.347
82,4.6217,0.1026,0.3473
83,4.6217,0.1006,0.3471
84,4.6203,0.1011,0.347
85,4.6192,0.1011,0.3471
86,4.6228,0.1017,0.3472
87,4.6181,0.1022,0.3473
88,4.6226,0.1004,0.3469
89,4.6214,0.1005,0.347
90,4.6203,0.1013,0.3471
91,4.6214,0.1015,0.3471
92,4.6206,0.1017,0.3472
93,4.6226,0.1012,0.347
94,4.6192,0.1003,0.3468
95,4.6228,0.1003,0.347
96,4.6203,0.1016,0.3471
97,4.6217,0.0996,0.347
98,4.6195,0.101,0.3471
99,4.6228,0.1012,0.3473
