,fkgl,bleu,sari
0,5.0001,0.2332,0.3628
1,5.0011,0.233,0.3626
2,5.0011,0.2336,0.3628
3,5.0011,0.23399999999999999,0.3629
4,5.0001,0.233,0.3628
5,5.0001,0.2332,0.3627
6,5.0001,0.2325,0.3625
7,5.0011,0.2341,0.3629
8,5.0001,0.2332,0.3627
9,5.0011,0.23399999999999999,0.3629
10,5.0001,0.2328,0.3626
11,5.0011,0.2334,0.3626
12,5.0011,0.2334,0.3627
13,5.0011,0.2335,0.3627
14,5.0011,0.2342,0.3628
15,5.0001,0.2334,0.3626
16,5.0011,0.2339,0.3629
17,4.9972,0.2338,0.3627
18,5.0011,0.2336,0.3627
19,5.0011,0.2335,0.3627
20,5.0001,0.2338,0.3627
21,4.9992,0.2327,0.3627
22,5.0011,0.2337,0.3629
23,5.0011,0.2335,0.3626
24,4.9992,0.2338,0.3629
25,5.0011,0.2337,0.3627
26,5.0001,0.2334,0.3627
27,4.9992,0.23399999999999999,0.3627
28,4.9992,0.2338,0.3628
29,5.0011,0.2338,0.3628
30,5.0011,0.2336,0.3627
31,5.0011,0.2337,0.3627
32,5.0011,0.2334,0.3626
33,5.0011,0.2343,0.3627
34,5.0011,0.2326,0.3626
35,5.0011,0.2327,0.3626
36,5.0011,0.2327,0.3627
37,5.0011,0.2332,0.3627
38,5.0011,0.233,0.3626
39,4.9992,0.2331,0.3626
40,5.0011,0.2331,0.3626
41,5.0011,0.2335,0.3627
42,5.0011,0.233,0.3626
43,4.9992,0.233,0.3625
44,4.9982,0.2327,0.3626
45,5.0011,0.2337,0.3628
46,5.0001,0.2327,0.3627
47,5.0011,0.23399999999999999,0.3628
48,5.0011,0.2328,0.3627
49,5.0011,0.2331,0.3626
50,5.0011,0.2335,0.3626
51,5.0001,0.2335,0.3628
52,5.0001,0.233,0.3628
53,5.0011,0.2333,0.3627
54,5.0011,0.2336,0.3628
55,5.0001,0.2341,0.3627
56,4.9982,0.2343,0.3628
57,5.0001,0.2328,0.3626
58,5.0011,0.2326,0.3626
59,5.0011,0.2329,0.3627
60,5.0001,0.2337,0.3627
61,5.0011,0.2328,0.3627
62,5.0011,0.2343,0.3628
63,4.9992,0.2337,0.3628
64,5.0011,0.2343,0.3629
65,5.0011,0.2337,0.3628
66,5.0011,0.2331,0.3628
67,5.0001,0.2341,0.3627
68,5.0001,0.2332,0.3628
69,5.0011,0.2331,0.3626
70,5.0011,0.2339,0.3628
71,5.0011,0.2333,0.3628
72,5.0011,0.2332,0.3626
73,5.0011,0.2333,0.3626
74,5.0011,0.2338,0.3627
75,5.0011,0.2331,0.3628
76,5.0011,0.2337,0.3627
77,5.0011,0.2343,0.3627
78,5.0011,0.2324,0.3626
79,4.9992,0.2324,0.3625
80,5.0001,0.2329,0.3626
81,5.0011,0.233,0.3627
82,5.0011,0.2331,0.3625
83,5.0011,0.2341,0.3628
84,5.0011,0.233,0.3628
85,5.0011,0.2334,0.3626
86,5.0001,0.2335,0.3628
87,5.0011,0.2338,0.3627
88,4.9992,0.2333,0.3628
89,5.0011,0.2332,0.3628
90,5.0001,0.2329,0.3627
91,5.0001,0.2339,0.3628
92,5.0001,0.2334,0.3627
93,5.0011,0.2333,0.3627
94,5.0001,0.2325,0.3626
95,5.0011,0.2333,0.3627
96,5.0011,0.2336,0.3628
97,5.0011,0.233,0.3627
98,5.0011,0.2331,0.3625
99,5.0001,0.2333,0.3626
