,fkgl,bleu,sari
0,4.8662,0.0927,0.3473
1,4.8673,0.0921,0.3473
2,4.8651,0.092,0.3473
3,4.8705,0.0914,0.3472
4,4.8662,0.0926,0.3472
5,4.8662,0.0909,0.3471
6,4.8716,0.0913,0.3472
7,4.8651,0.0925,0.3474
8,4.8651,0.0921,0.3473
9,4.8694,0.0931,0.3474
10,4.8662,0.0928,0.3474
11,4.8662,0.0936,0.3475
12,4.8662,0.0928,0.3475
13,4.8716,0.0901,0.3471
14,4.8683,0.0932,0.3474
15,4.8705,0.0935,0.3476
16,4.8726,0.0922,0.3472
17,4.8683,0.09,0.347
18,4.8619,0.0927,0.3473
19,4.8608,0.092,0.3473
20,4.8683,0.0905,0.3472
21,4.8716,0.0916,0.3473
22,4.8705,0.092,0.3473
23,4.8651,0.0906,0.3471
24,4.8716,0.0915,0.3472
25,4.8662,0.0905,0.3471
26,4.8683,0.0911,0.3472
27,4.8641,0.092,0.3473
28,4.8694,0.0926,0.3473
29,4.863,0.0909,0.347
30,4.8662,0.0904,0.3471
31,4.8673,0.0914,0.3472
32,4.8716,0.0922,0.3472
33,4.8619,0.0921,0.3473
34,4.863,0.0908,0.3472
35,4.8705,0.0914,0.3472
36,4.8683,0.0919,0.3472
37,4.8662,0.0912,0.347
38,4.8683,0.0929,0.3475
39,4.8683,0.0929,0.3475
40,4.8641,0.0904,0.347
41,4.8651,0.0921,0.3472
42,4.8673,0.092,0.3472
43,4.8694,0.0893,0.3469
44,4.8694,0.0932,0.3475
45,4.8683,0.0906,0.347
46,4.8673,0.0921,0.3473
47,4.8705,0.0913,0.3472
48,4.8662,0.0927,0.3473
49,4.8694,0.0921,0.3473
50,4.8662,0.0927,0.3474
51,4.8673,0.0925,0.3473
52,4.8662,0.0934,0.3475
53,4.8662,0.0933,0.3474
54,4.8694,0.0919,0.3472
55,4.8694,0.0911,0.3472
56,4.8716,0.0916,0.3472
57,4.8662,0.0949,0.3478
58,4.8683,0.0924,0.3474
59,4.8641,0.0907,0.3472
60,4.8662,0.0937,0.3474
61,4.8662,0.0926,0.3472
62,4.8651,0.0918,0.3472
63,4.8673,0.0905,0.347
64,4.8662,0.0905,0.347
65,4.8651,0.0941,0.3476
66,4.8694,0.0916,0.3472
67,4.8705,0.0926,0.3473
68,4.8641,0.0925,0.3475
69,4.8662,0.09,0.347
70,4.8673,0.0918,0.3473
71,4.8651,0.0931,0.3474
72,4.8673,0.0914,0.3471
73,4.8651,0.0924,0.3474
74,4.8705,0.0915,0.3472
75,4.8705,0.0913,0.3472
76,4.8694,0.0901,0.347
77,4.8673,0.0915,0.3472
78,4.8673,0.0921,0.3474
79,4.8705,0.0932,0.3475
80,4.8662,0.0908,0.3471
81,4.8683,0.0908,0.3471
82,4.8683,0.0933,0.3475
83,4.8705,0.0924,0.3472
84,4.8641,0.0918,0.3473
85,4.8683,0.0903,0.347
86,4.8651,0.0941,0.3477
87,4.8673,0.0924,0.3473
88,4.8673,0.0916,0.3472
89,4.8662,0.0931,0.3475
90,4.8673,0.0923,0.3473
91,4.8683,0.0925,0.3474
92,4.863,0.0922,0.3473
93,4.8662,0.0935,0.3475
94,4.8683,0.0922,0.3472
95,4.8662,0.0906,0.3469
96,4.8651,0.0918,0.3472
97,4.8705,0.0914,0.3472
98,4.8683,0.0933,0.3473
99,4.8705,0.0921,0.3472
