,fkgl,bleu,sari
0,4.1897,0.2201,0.3626
1,4.1859,0.2172,0.3619
2,4.1973,0.2173,0.3622
3,4.1783,0.2205,0.3625
4,4.1768,0.2161,0.3618
5,4.1578,0.2191,0.3623
6,4.2064,0.2197,0.3621
7,4.1616,0.2184,0.3624
8,4.1692,0.2188,0.3621
9,4.1745,0.2176,0.36200000000000004
10,4.1821,0.21899999999999997,0.3623
11,4.1912,0.2184,0.3622
12,4.1677,0.2169,0.3618
13,4.1798,0.2178,0.3621
14,4.1935,0.2193,0.3623
15,4.1791,0.2185,0.3624
16,4.1829,0.22,0.36200000000000004
17,4.1791,0.2198,0.3624
18,4.208,0.2176,0.3618
19,4.1844,0.2171,0.36200000000000004
20,4.2087,0.2185,0.3621
21,4.1814,0.2183,0.36200000000000004
22,4.1768,0.2181,0.3622
23,4.1943,0.2175,0.3624
24,4.1874,0.2163,0.3618
25,4.1821,0.2193,0.3622
26,4.1829,0.2176,0.3622
27,4.1814,0.2197,0.3623
28,4.1928,0.2164,0.3618
29,4.1593,0.2195,0.3622
30,4.2019,0.2188,0.3621
31,4.1715,0.2197,0.3626
32,4.1981,0.2191,0.3622
33,4.1692,0.2179,0.3623
34,4.1798,0.2198,0.3623
35,4.1943,0.22,0.3627
36,4.1684,0.2179,0.3617
37,4.1973,0.2193,0.3624
38,4.1806,0.2197,0.3622
39,4.1966,0.2177,0.3619
40,4.214,0.2174,0.3619
41,4.227,0.218,0.3622
42,4.1768,0.2177,0.3619
43,4.1912,0.2192,0.3624
44,4.1874,0.2182,0.3621
45,4.1677,0.2177,0.3621
46,4.17,0.2179,0.3624
47,4.1905,0.2179,0.3622
48,4.1738,0.2187,0.3621
49,4.1646,0.2175,0.3623
50,4.2072,0.2179,0.36200000000000004
51,4.173,0.2185,0.3622
52,4.176,0.21899999999999997,0.3622
53,4.1753,0.2189,0.36200000000000004
54,4.1745,0.2188,0.3621
55,4.2186,0.2177,0.3621
56,4.1639,0.2182,0.36200000000000004
57,4.189,0.2186,0.3621
58,4.2239,0.2191,0.3622
59,4.2011,0.2201,0.3625
60,4.2277,0.2173,0.36200000000000004
61,4.1715,0.2167,0.3618
62,4.1821,0.217,0.3622
63,4.17,0.2191,0.3623
64,4.1897,0.2203,0.3625
65,4.173,0.2175,0.3621
66,4.1745,0.2182,0.3621
67,4.192,0.2178,0.36200000000000004
68,4.1814,0.2198,0.3623
69,4.1897,0.2178,0.3624
70,4.2057,0.2176,0.3622
71,4.1791,0.2178,0.3619
72,4.1958,0.2196,0.3624
73,4.1935,0.2187,0.3621
74,4.1973,0.2178,0.3621
75,4.1829,0.2192,0.3626
76,4.1616,0.2178,0.3621
77,4.1859,0.2185,0.3624
78,4.2042,0.2199,0.3624
79,4.1738,0.2176,0.3621
80,4.1859,0.2181,0.3621
81,4.1996,0.2181,0.3622
82,4.1814,0.2172,0.36200000000000004
83,4.1821,0.2163,0.3621
84,4.1684,0.2208,0.3625
85,4.1852,0.2189,0.3623
86,4.1745,0.2183,0.36200000000000004
87,4.176,0.2175,0.3619
88,4.1753,0.218,0.3623
89,4.176,0.2186,0.3623
90,4.1935,0.2187,0.36200000000000004
91,4.1943,0.2187,0.36200000000000004
92,4.1935,0.217,0.3619
93,4.2004,0.2172,0.36200000000000004
94,4.1966,0.2197,0.3624
95,4.211,0.2186,0.36200000000000004
96,4.1958,0.2205,0.3626
97,4.1646,0.2203,0.3622
98,4.17,0.2183,0.36200000000000004
99,4.2034,0.2173,0.3621
