,fkgl,bleu,sari
0,4.733,0.2318,0.3626
1,4.7513,0.2308,0.3623
2,4.7429,0.2316,0.3626
3,4.7505,0.2328,0.363
4,4.7505,0.2319,0.363
5,4.7558,0.233,0.3628
6,4.7467,0.2317,0.3629
7,4.752,0.2294,0.3625
8,4.7657,0.2319,0.3626
9,4.7414,0.2306,0.3624
10,4.7452,0.2321,0.3627
11,4.7505,0.2308,0.3625
12,4.7125,0.2309,0.3626
13,4.7201,0.2323,0.3628
14,4.7535,0.2331,0.3629
15,4.7551,0.231,0.3624
16,4.7346,0.2306,0.3624
17,4.7399,0.2319,0.3625
18,4.7505,0.2329,0.3627
19,4.7535,0.2307,0.3626
20,4.7399,0.2312,0.3628
21,4.7429,0.2316,0.3627
22,4.749,0.2314,0.3627
23,4.7338,0.2314,0.3624
24,4.7421,0.2308,0.3624
25,4.7505,0.2314,0.3626
26,4.7429,0.2311,0.3626
27,4.7475,0.2318,0.3625
28,4.7399,0.2306,0.3624
29,4.7368,0.2304,0.3625
30,4.7346,0.2309,0.3626
31,4.7315,0.2288,0.3622
32,4.7444,0.2317,0.3629
33,4.7277,0.2313,0.3627
34,4.7475,0.2308,0.3625
35,4.7543,0.2315,0.3626
36,4.7391,0.2314,0.3628
37,4.7467,0.2299,0.3624
38,4.7437,0.2318,0.3627
39,4.7703,0.2309,0.3626
40,4.7361,0.23199999999999998,0.3627
41,4.7756,0.2304,0.3626
42,4.7535,0.2316,0.3627
43,4.7346,0.2311,0.3624
44,4.7315,0.2318,0.3628
45,4.7573,0.2299,0.3624
46,4.7232,0.231,0.3626
47,4.7566,0.2311,0.3625
48,4.7505,0.2307,0.3624
49,4.7573,0.2317,0.3628
50,4.7513,0.2313,0.3625
51,4.7558,0.2311,0.3625
52,4.7611,0.2306,0.3624
53,4.7505,0.2324,0.3629
54,4.7703,0.2296,0.3624
55,4.7505,0.2297,0.3625
56,4.7376,0.2318,0.3627
57,4.7308,0.2307,0.3626
58,4.7338,0.2315,0.3627
59,4.7642,0.2316,0.3627
60,4.7543,0.231,0.3626
61,4.7368,0.2309,0.3625
62,4.7528,0.2319,0.3628
63,4.7346,0.2305,0.3627
64,4.7406,0.2314,0.3628
65,4.7475,0.2327,0.3628
66,4.7437,0.2315,0.3626
67,4.7232,0.231,0.3625
68,4.7535,0.2314,0.3626
69,4.7543,0.2315,0.3626
70,4.7414,0.2306,0.3625
71,4.7346,0.2303,0.3626
72,4.7383,0.2309,0.3627
73,4.7361,0.2318,0.3627
74,4.752,0.2314,0.3625
75,4.752,0.2325,0.3628
76,4.7414,0.22899999999999998,0.3623
77,4.7429,0.231,0.3626
78,4.7543,0.23199999999999998,0.3629
79,4.7346,0.2301,0.3625
80,4.7323,0.2291,0.3625
81,4.7589,0.2326,0.363
82,4.733,0.2306,0.3627
83,4.7649,0.231,0.3626
84,4.7399,0.2313,0.3629
85,4.7657,0.2308,0.3627
86,4.7551,0.2312,0.3627
87,4.7368,0.2309,0.3626
88,4.7649,0.2306,0.3625
89,4.7619,0.2318,0.3629
90,4.7627,0.2304,0.3625
91,4.7361,0.2307,0.3623
92,4.7391,0.2318,0.3629
93,4.7604,0.2304,0.3625
94,4.7657,0.2317,0.3627
95,4.7156,0.2308,0.3624
96,4.7383,0.2317,0.3627
97,4.7414,0.2324,0.3627
98,4.7604,0.2309,0.3627
99,4.7847,0.231,0.3626
