,fkgl,bleu,sari
0,4.6137,0.2282,0.3624
1,4.6031,0.2284,0.3624
2,4.6001,0.2271,0.3622
3,4.6001,0.22699999999999998,0.3624
4,4.6092,0.2271,0.3625
5,4.6213,0.2292,0.3626
6,4.5963,0.2269,0.3623
7,4.6137,0.2294,0.3626
8,4.5773,0.2285,0.3626
9,4.6168,0.2283,0.3625
10,4.5947,0.2287,0.3627
11,4.6092,0.2283,0.3625
12,4.5871,0.2304,0.3627
13,4.635,0.228,0.3624
14,4.5902,0.2283,0.3625
15,4.5978,0.228,0.3625
16,4.6031,0.2267,0.3623
17,4.5955,0.2284,0.3628
18,4.6046,0.2291,0.3626
19,4.6183,0.228,0.3622
20,4.6137,0.2282,0.3624
21,4.6054,0.2279,0.3624
22,4.6175,0.2284,0.3622
23,4.6221,0.2289,0.3627
24,4.5811,0.228,0.3624
25,4.5978,0.2299,0.3626
26,4.597,0.2285,0.3628
27,4.6206,0.2271,0.3625
28,4.5963,0.2258,0.3621
29,4.5963,0.2274,0.3622
30,4.5697,0.2275,0.3624
31,4.6077,0.2273,0.3623
32,4.6077,0.2294,0.3626
33,4.6297,0.2276,0.3624
34,4.6008,0.2281,0.3628
35,4.5917,0.2281,0.3625
36,4.6191,0.2295,0.3625
37,4.5917,0.22699999999999998,0.3624
38,4.6084,0.2293,0.3624
39,4.6069,0.2303,0.3627
40,4.6092,0.2274,0.3624
41,4.6001,0.2284,0.3625
42,4.616,0.2285,0.3626
43,4.616,0.2292,0.3627
44,4.5833,0.2271,0.3626
45,4.6077,0.2266,0.3624
46,4.5909,0.2296,0.3627
47,4.6312,0.2271,0.3626
48,4.5849,0.2287,0.3625
49,4.616,0.2278,0.3624
50,4.5993,0.2272,0.3623
51,4.597,0.2278,0.3624
52,4.5902,0.228,0.3627
53,4.5932,0.2274,0.3625
54,4.6251,0.22699999999999998,0.3623
55,4.5947,0.2283,0.3624
56,4.6183,0.2277,0.3627
57,4.6054,0.2281,0.3626
58,4.616,0.2283,0.3623
59,4.5773,0.2291,0.3624
60,4.6183,0.2279,0.3626
61,4.5871,0.2285,0.3627
62,4.6418,0.2291,0.3626
63,4.5849,0.2261,0.3623
64,4.6077,0.2275,0.3625
65,4.6031,0.2294,0.3628
66,4.6092,0.2282,0.3625
67,4.616,0.2295,0.3628
68,4.5689,0.22899999999999998,0.3627
69,4.6396,0.2279,0.3626
70,4.5803,0.2276,0.3623
71,4.6001,0.2296,0.3628
72,4.6107,0.2271,0.3623
73,4.6107,0.2279,0.3623
74,4.6137,0.2291,0.3626
75,4.5841,0.2267,0.3623
76,4.5963,0.2287,0.3623
77,4.6358,0.2283,0.3623
78,4.6175,0.2284,0.3623
79,4.6206,0.2285,0.3628
80,4.6001,0.2279,0.3625
81,4.5963,0.2264,0.3622
82,4.632,0.2275,0.3624
83,4.5985,0.2272,0.3621
84,4.5909,0.2272,0.3625
85,4.6289,0.2272,0.3623
86,4.6388,0.2274,0.3626
87,4.6008,0.2297,0.3624
88,4.5947,0.2277,0.3626
89,4.6016,0.2272,0.3624
90,4.6137,0.228,0.3623
91,4.6122,0.2291,0.3625
92,4.6092,0.2274,0.3623
93,4.6008,0.2274,0.3626
94,4.5856,0.2274,0.3624
95,4.5803,0.2269,0.3622
96,4.616,0.2271,0.3623
97,4.5947,0.2281,0.3623
98,4.6145,0.2278,0.3624
99,4.6054,0.2287,0.3626
