,fkgl,bleu,sari
0,4.6239,0.1066,0.3471
1,4.5981,0.1073,0.3471
2,4.6043,0.1065,0.3471
3,4.6248,0.106,0.347
4,4.6123,0.1069,0.347
5,4.6034,0.107,0.3471
6,4.6088,0.1066,0.3471
7,4.6168,0.1076,0.3472
8,4.6079,0.1074,0.3472
9,4.6026,0.1065,0.3468
10,4.6061,0.1062,0.347
11,4.6301,0.1075,0.3471
12,4.6017,0.1077,0.3473
13,4.6106,0.107,0.347
14,4.6017,0.1068,0.347
15,4.6043,0.106,0.3469
16,4.6052,0.107,0.3472
17,4.6123,0.1068,0.3469
18,4.6114,0.1058,0.3469
19,4.6132,0.1064,0.347
20,4.6195,0.1072,0.3472
21,4.6008,0.1067,0.347
22,4.6186,0.107,0.3471
23,4.6203,0.1062,0.347
24,4.607,0.1069,0.347
25,4.6141,0.1067,0.3471
26,4.6177,0.1065,0.347
27,4.6061,0.1072,0.347
28,4.623,0.1064,0.3471
29,4.5946,0.1069,0.347
30,4.5928,0.1069,0.347
31,4.6221,0.1067,0.347
32,4.6106,0.1058,0.3468
33,4.6061,0.1071,0.347
34,4.6114,0.1067,0.3471
35,4.6079,0.107,0.3472
36,4.6159,0.107,0.3471
37,4.6275,0.107,0.3472
38,4.6114,0.1068,0.3471
39,4.6008,0.1064,0.347
40,4.6034,0.1059,0.347
41,4.6079,0.1074,0.3471
42,4.6097,0.1068,0.3471
43,4.6177,0.1067,0.3469
44,4.5954,0.1073,0.3471
45,4.6106,0.1076,0.3471
46,4.5999,0.1069,0.3472
47,4.623,0.1067,0.3471
48,4.6114,0.1069,0.347
49,4.6292,0.1074,0.3472
50,4.6159,0.1069,0.347
51,4.6301,0.1067,0.3471
52,4.6239,0.1074,0.3472
53,4.6346,0.1067,0.347
54,4.5981,0.1072,0.3471
55,4.6159,0.1067,0.347
56,4.615,0.1067,0.347
57,4.6043,0.1073,0.3471
58,4.591,0.1061,0.3469
59,4.6266,0.1064,0.347
60,4.5999,0.1062,0.3469
61,4.607,0.1066,0.347
62,4.6114,0.1075,0.3472
63,4.5946,0.1071,0.347
64,4.6239,0.1072,0.3472
65,4.6114,0.1069,0.3471
66,4.6195,0.1068,0.347
67,4.6052,0.1072,0.3472
68,4.6257,0.1069,0.3471
69,4.6097,0.1057,0.3469
70,4.615,0.1066,0.347
71,4.5928,0.1077,0.3472
72,4.6123,0.107,0.3471
73,4.623,0.1072,0.3471
74,4.5999,0.1078,0.3472
75,4.5946,0.107,0.347
76,4.6328,0.1071,0.3472
77,4.6026,0.107,0.3471
78,4.6177,0.1067,0.3472
79,4.6017,0.1072,0.3471
80,4.5981,0.107,0.3471
81,4.6168,0.1062,0.3469
82,4.6043,0.1066,0.3469
83,4.5981,0.1077,0.3471
84,4.6248,0.107,0.3469
85,4.6061,0.1062,0.347
86,4.639,0.107,0.347
87,4.6212,0.1072,0.347
88,4.5963,0.1073,0.3472
89,4.615,0.1068,0.3471
90,4.6132,0.1073,0.3471
91,4.607,0.1065,0.3471
92,4.5954,0.1073,0.3471
93,4.5972,0.107,0.3472
94,4.6106,0.1061,0.347
95,4.6026,0.1072,0.3471
96,4.6159,0.107,0.3471
97,4.615,0.107,0.3471
98,4.6275,0.1069,0.3471
99,4.6132,0.1066,0.3468
