,fkgl,bleu,sari
0,4.8292,0.2097,0.3611
1,4.8041,0.21,0.3613
2,4.8028,0.2091,0.3607
3,4.7853,0.2113,0.361
4,4.8025,0.2133,0.3621
5,4.7943,0.2102,0.361
6,4.769,0.2096,0.3611
7,4.8071,0.2134,0.3616
8,4.8022,0.2117,0.3615
9,4.8078,0.2098,0.3611
10,4.7913,0.208,0.3611
11,4.7961,0.2141,0.3619
12,4.7854,0.2113,0.3612
13,4.7979,0.21,0.3611
14,4.8053,0.2115,0.3612
15,4.7836,0.2114,0.3609
16,4.7965,0.2085,0.361
17,4.7976,0.2105,0.361
18,4.7857,0.2088,0.3609
19,4.7888,0.2113,0.361
20,4.8011,0.2118,0.3613
21,4.7916,0.2116,0.3617
22,4.7783,0.2122,0.3613
23,4.8093,0.2102,0.3614
24,4.814,0.2097,0.3614
25,4.7973,0.2095,0.3615
26,4.7945,0.2129,0.3612
27,4.7911,0.2097,0.3615
28,4.7973,0.2077,0.3607
29,4.799,0.2081,0.3608
30,4.7796,0.2104,0.3612
31,4.8066,0.2118,0.3613
32,4.8005,0.2094,0.3612
33,4.8129,0.208,0.3603
34,4.7983,0.2103,0.3614
35,4.7893,0.2112,0.3608
36,4.7722,0.2096,0.3616
37,4.7906,0.2084,0.3614
38,4.7995,0.2094,0.361
39,4.8003,0.2106,0.3615
40,4.8145,0.2107,0.361
41,4.7981,0.2122,0.3615
42,4.8057,0.2098,0.3613
43,4.7982,0.2122,0.3613
44,4.8037,0.2116,0.3615
45,4.8131,0.2098,0.3612
46,4.7988,0.2102,0.3612
47,4.7994,0.212,0.3617
48,4.7701,0.2098,0.3609
49,4.7954,0.211,0.361
50,4.8013,0.2064,0.3604
51,4.8028,0.2103,0.3612
52,4.8138,0.2109,0.3617
53,4.7836,0.2086,0.361
54,4.8364,0.2097,0.3607
55,4.8136,0.2117,0.3612
56,4.805,0.2092,0.3612
57,4.7693,0.2093,0.3612
58,4.8096,0.21,0.3612
59,4.7929,0.2116,0.3612
60,4.7722,0.2102,0.361
61,4.7646,0.2097,0.3612
62,4.7923,0.213,0.3618
63,4.7726,0.2114,0.361
64,4.8038,0.2089,0.361
65,4.7972,0.2106,0.3612
66,4.8367,0.2093,0.3609
67,4.8365,0.2099,0.3611
68,4.7739,0.2105,0.3616
69,4.7921,0.2104,0.3612
70,4.8171,0.2117,0.3612
71,4.7838,0.2082,0.3612
72,4.8161,0.2115,0.3615
73,4.8336,0.208,0.3607
74,4.7986,0.209,0.3609
75,4.8374,0.2114,0.361
76,4.7997,0.211,0.3613
77,4.794,0.2109,0.3613
78,4.7845,0.2088,0.3613
79,4.7832,0.2114,0.3614
80,4.8156,0.2107,0.3615
81,4.7855,0.207,0.3609
82,4.8229,0.2107,0.361
83,4.7918,0.2088,0.3606
84,4.7832,0.2102,0.361
85,4.7703,0.2126,0.3618
86,4.8041,0.2124,0.3617
87,4.7942,0.2098,0.3613
88,4.7885,0.2102,0.3615
89,4.8028,0.214,0.3616
90,4.7794,0.2101,0.3613
91,4.8062,0.2095,0.3606
92,4.8047,0.2083,0.3608
93,4.8017,0.2076,0.3604
94,4.8218,0.2099,0.3613
95,4.8216,0.2123,0.3615
96,4.7997,0.2115,0.3616
97,4.8123,0.2104,0.3613
98,4.804,0.2136,0.3615
99,4.7674,0.2108,0.3614
