,fkgl,bleu,sari
0,4.3088,0.0868,0.3468
1,4.3011,0.0881,0.3467
2,4.3041,0.0897,0.347
3,4.2818,0.0891,0.3471
4,4.2887,0.0891,0.3468
5,4.2824,0.0873,0.3466
6,4.335,0.087,0.3466
7,4.3041,0.0873,0.3467
8,4.2833,0.0887,0.347
9,4.3211,0.0894,0.3469
10,4.2722,0.0883,0.347
11,4.2815,0.087,0.3467
12,4.3306,0.0885,0.3469
13,4.3159,0.0893,0.347
14,4.3204,0.0885,0.3469
15,4.3623,0.0889,0.3468
16,4.2965,0.0901,0.347
17,4.3132,0.0851,0.3464
18,4.2716,0.0906,0.3472
19,4.3108,0.0867,0.3467
20,4.3043,0.0887,0.347
21,4.2812,0.0873,0.3466
22,4.333,0.0885,0.347
23,4.3149,0.0881,0.3468
24,4.3262,0.0853,0.3463
25,4.3337,0.0873,0.3467
26,4.2962,0.0873,0.3467
27,4.3187,0.0897,0.3472
28,4.3719,0.0898,0.3472
29,4.3479,0.0873,0.3467
30,4.3126,0.0873,0.3466
31,4.2948,0.0861,0.3464
32,4.3027,0.0866,0.3466
33,4.3102,0.0872,0.3467
34,4.2822,0.0893,0.3471
35,4.321,0.0881,0.3468
36,4.2807,0.0852,0.3465
37,4.3009,0.0881,0.3468
38,4.3464,0.0863,0.3467
39,4.324,0.0882,0.3466
40,4.2989,0.0889,0.3468
41,4.3078,0.0861,0.3466
42,4.3356,0.0894,0.347
43,4.3127,0.0874,0.3467
44,4.3243,0.0866,0.3466
45,4.327,0.0895,0.347
46,4.2725,0.0882,0.3468
47,4.3131,0.0909,0.3474
48,4.3348,0.0877,0.347
49,4.2647,0.0861,0.3465
50,4.3243,0.0894,0.347
51,4.3065,0.0875,0.3468
52,4.3181,0.0883,0.3468
53,4.3167,0.087,0.3465
54,4.3272,0.0886,0.3468
55,4.3219,0.0882,0.347
56,4.3243,0.0901,0.3471
57,4.3163,0.0877,0.3467
58,4.3589,0.0905,0.3473
59,4.3104,0.0895,0.347
60,4.3093,0.0895,0.3471
61,4.2932,0.0867,0.3466
62,4.2753,0.0867,0.3464
63,4.3024,0.0895,0.347
64,4.3095,0.0862,0.3466
65,4.3318,0.087,0.3465
66,4.3342,0.0888,0.3468
67,4.2816,0.0884,0.3467
68,4.3121,0.0896,0.3471
69,4.3157,0.0866,0.3465
70,4.3577,0.0855,0.3465
71,4.2768,0.087,0.3467
72,4.2991,0.0873,0.3468
73,4.3187,0.0912,0.3473
74,4.3129,0.0878,0.3467
75,4.3038,0.0875,0.3467
76,4.2965,0.0868,0.3466
77,4.2959,0.0875,0.3466
78,4.3173,0.0885,0.347
79,4.3152,0.0889,0.3469
80,4.3337,0.0889,0.3467
81,4.3097,0.0891,0.347
82,4.3446,0.0866,0.3468
83,4.3827,0.0889,0.3469
84,4.3046,0.0876,0.3467
85,4.3613,0.0891,0.3469
86,4.3549,0.0914,0.3474
87,4.3334,0.0874,0.3468
88,4.2803,0.089,0.3469
89,4.3183,0.0893,0.347
90,4.3323,0.0889,0.3468
91,4.3041,0.0886,0.3467
92,4.3032,0.0909,0.3471
93,4.3036,0.0903,0.347
94,4.3417,0.0864,0.3464
95,4.3252,0.0888,0.3469
96,4.2947,0.0882,0.3469
97,4.3699,0.0877,0.3467
98,4.2949,0.0857,0.3463
99,4.3145,0.0893,0.347
