,fkgl,bleu,sari
0,5.8946,0.1816,0.3589
1,5.896,0.18,0.3582
2,5.8664,0.1824,0.359
3,5.8995,0.184,0.3589
4,5.8897,0.1797,0.3583
5,5.4835,0.1814,0.3589
6,5.9131,0.1786,0.3586
7,5.4957,0.1804,0.3583
8,5.8918,0.1796,0.3587
9,5.8681,0.1831,0.359
10,5.9186,0.179,0.358
11,5.9055,0.1799,0.3584
12,5.9136,0.1816,0.3586
13,5.5023,0.1789,0.3581
14,5.8346,0.1806,0.3586
15,5.9074,0.1803,0.3584
16,5.488,0.1802,0.3587
17,5.8917,0.1802,0.3586
18,5.9052,0.1804,0.3586
19,5.8622,0.1808,0.3589
20,5.8756,0.1794,0.3585
21,5.8838,0.1798,0.3583
22,5.8482,0.1788,0.3582
23,5.878,0.1809,0.3587
24,5.8696,0.1808,0.3586
25,5.8719,0.1811,0.3586
26,5.8765,0.1799,0.3584
27,5.8736,0.179,0.3583
28,5.4886,0.1808,0.3586
29,5.497,0.1803,0.3589
30,5.4864,0.1803,0.3587
31,5.5001,0.1796,0.3584
32,5.8732,0.18,0.3587
33,5.8838,0.1766,0.3582
34,5.8921,0.1797,0.3582
35,5.8804,0.1827,0.3589
36,5.5023,0.1792,0.3585
37,5.8761,0.1817,0.3588
38,5.8748,0.1812,0.3583
39,5.905,0.177,0.3579
40,5.4935,0.1801,0.3584
41,5.841,0.1811,0.3587
42,5.8931,0.1807,0.3585
43,5.8741,0.178,0.3583
44,5.8674,0.1826,0.3589
45,5.4735,0.1828,0.359
46,5.8784,0.1802,0.3584
47,5.4688,0.1816,0.3589
48,5.8802,0.1768,0.3581
49,5.8783,0.1792,0.3586
50,5.471,0.1824,0.3591
51,5.5039,0.1803,0.3584
52,5.886,0.1794,0.3584
53,5.8833,0.1777,0.3583
54,5.4697,0.1781,0.3586
55,5.9055,0.1811,0.3586
56,5.8646,0.1789,0.3582
57,5.8791,0.1812,0.3585
58,5.8928,0.18,0.3587
59,5.5187,0.1816,0.3586
60,5.8859,0.182,0.359
61,5.8497,0.1816,0.359
62,5.4993,0.1824,0.359
63,5.8992,0.1763,0.3581
64,5.8944,0.1803,0.3586
65,5.8965,0.1818,0.3588
66,5.8931,0.1827,0.3591
67,5.8897,0.1795,0.3582
68,5.4817,0.1826,0.3592
69,5.8991,0.1801,0.358
70,5.89,0.1789,0.3587
71,5.512,0.1816,0.3588
72,5.9119,0.1794,0.3584
73,5.5074,0.1781,0.3585
74,5.5132,0.1829,0.3591
75,5.8952,0.1823,0.359
76,5.5008,0.1779,0.3581
77,5.482,0.1824,0.3586
78,5.8962,0.1792,0.3586
79,5.8989,0.1779,0.3582
80,5.9166,0.1802,0.3579
81,5.5089,0.1784,0.3584
82,5.8731,0.1786,0.3583
83,5.8878,0.181,0.3584
84,5.8875,0.1794,0.3583
85,5.489,0.1825,0.359
86,5.91,0.181,0.3583
87,5.8867,0.1802,0.3582
88,5.4759,0.1813,0.3588
89,5.4856,0.1827,0.3591
90,5.4603,0.1828,0.359
91,5.8426,0.1804,0.3584
92,5.8907,0.1811,0.3586
93,5.8857,0.1822,0.3586
94,5.8722,0.1795,0.3584
95,5.8877,0.1794,0.3583
96,5.8643,0.1786,0.3587
97,5.4806,0.1808,0.3586
98,5.4632,0.1819,0.3588
99,5.8826,0.1788,0.3584
