,fkgl,bleu,sari
0,4.7506,0.2008,0.3601
1,4.7325,0.2084,0.3616
2,4.745,0.2019,0.3606
3,4.7456,0.2068,0.3613
4,4.7515,0.2011,0.3607
5,4.7104,0.1993,0.3596
6,4.7595,0.2051,0.3613
7,4.7591,0.203,0.3606
8,4.7095,0.2027,0.3606
9,4.727,0.2017,0.3607
10,4.7321,0.2044,0.3613
11,4.7546,0.2058,0.3613
12,4.7129,0.207,0.3617
13,4.7166,0.207,0.3614
14,4.6956,0.2031,0.3608
15,4.7266,0.2017,0.3604
16,4.7415,0.205,0.3614
17,4.7584,0.2045,0.3609
18,4.7123,0.2052,0.3613
19,4.7739,0.2035,0.3608
20,4.7257,0.2033,0.3607
21,4.7109,0.2011,0.3603
22,4.7402,0.204,0.3608
23,4.7433,0.2031,0.3606
24,4.735,0.2018,0.3609
25,4.7373,0.2056,0.3614
26,4.712,0.2022,0.3609
27,4.7004,0.2077,0.3617
28,4.7301,0.2035,0.361
29,4.7508,0.2048,0.3614
30,4.7489,0.2036,0.3608
31,4.7445,0.2032,0.3609
32,4.7375,0.2033,0.3609
33,4.7657,0.1974,0.3599
34,4.7498,0.2013,0.3605
35,4.7063,0.2024,0.3603
36,4.7232,0.2031,0.361
37,4.7217,0.201,0.3605
38,4.7711,0.2046,0.3612
39,4.75,0.204,0.3613
40,4.7552,0.2048,0.3612
41,4.7441,0.2024,0.3609
42,4.7222,0.2013,0.3608
43,4.7586,0.2025,0.3609
44,4.7135,0.2035,0.3611
45,4.7206,0.2059,0.3611
46,4.7196,0.203,0.3608
47,4.7392,0.2036,0.3611
48,4.7466,0.2046,0.3609
49,4.7294,0.2034,0.3611
50,4.7042,0.206,0.3613
51,4.7239,0.2038,0.361
52,4.7524,0.2045,0.3614
53,4.7274,0.2024,0.3609
54,4.7375,0.1997,0.3606
55,4.7196,0.2041,0.3611
56,4.7333,0.2017,0.3612
57,4.7479,0.2015,0.3608
58,4.7306,0.2036,0.3612
59,4.7533,0.2036,0.361
60,4.7491,0.2054,0.3616
61,4.7089,0.2015,0.3604
62,4.7542,0.2015,0.3602
63,4.7002,0.2032,0.3608
64,4.7283,0.2002,0.3608
65,4.7418,0.2052,0.3612
66,4.7271,0.204,0.3613
67,4.7374,0.2031,0.3611
68,4.705,0.2016,0.3608
69,4.7425,0.2008,0.3606
70,4.7202,0.2045,0.3612
71,4.7542,0.203,0.3609
72,4.7463,0.201,0.3606
73,4.705,0.2049,0.3611
74,4.7458,0.2035,0.3611
75,4.6977,0.2054,0.3607
76,4.7049,0.2035,0.3612
77,4.7615,0.1998,0.3607
78,4.7296,0.2026,0.3609
79,4.7034,0.204,0.3612
80,4.7384,0.2041,0.3614
81,4.7082,0.2027,0.3609
82,4.7273,0.2029,0.3611
83,4.7235,0.2027,0.3608
84,4.7441,0.2035,0.361
85,4.719,0.2055,0.361
86,4.7407,0.2031,0.3606
87,4.6969,0.2011,0.3603
88,4.7612,0.2014,0.3608
89,4.7008,0.2009,0.3603
90,4.7591,0.2032,0.3609
91,4.6924,0.2035,0.3613
92,4.7326,0.205,0.3614
93,4.723,0.2019,0.3604
94,4.7519,0.2021,0.361
95,4.7494,0.2018,0.3605
96,4.7168,0.2037,0.3609
97,4.7262,0.2009,0.3607
98,4.7319,0.203,0.3607
99,4.7352,0.2023,0.3605
