,fkgl,bleu,sari
0,4.9124,0.2215,0.3617
1,4.897,0.2234,0.3622
2,4.8963,0.2228,0.3622
3,4.897,0.2224,0.3619
4,4.9037,0.2222,0.3618
5,4.8926,0.2213,0.3618
6,4.8958,0.2222,0.362
7,4.8915,0.2221,0.3617
8,4.9231,0.2233,0.3621
9,4.8701,0.2212,0.3618
10,4.906,0.2232,0.3619
11,4.9014,0.2229,0.3618
12,4.901,0.2211,0.3618
13,4.8925,0.2225,0.3622
14,4.9034,0.2237,0.3621
15,4.8994,0.2211,0.362
16,4.9077,0.2218,0.362
17,4.8845,0.223,0.3621
18,4.8657,0.2223,0.3619
19,4.8849,0.2216,0.3616
20,4.8677,0.2217,0.362
21,4.9484,0.2237,0.3621
22,4.9123,0.2227,0.3623
23,4.9142,0.2233,0.3622
24,4.8925,0.2213,0.3619
25,4.9003,0.2228,0.3617
26,4.9159,0.2232,0.3621
27,4.8833,0.2223,0.362
28,4.8854,0.2226,0.3619
29,4.9023,0.2226,0.3617
30,4.8995,0.2238,0.362
31,4.8941,0.2224,0.3618
32,4.9104,0.2236,0.3623
33,4.9008,0.2222,0.3619
34,4.8889,0.2217,0.3618
35,4.8788,0.2226,0.362
36,4.9085,0.2226,0.3617
37,4.9018,0.2212,0.3619
38,4.8952,0.2196,0.3616
39,4.8816,0.2226,0.362
40,4.8805,0.2208,0.3618
41,4.8905,0.2225,0.3621
42,4.9015,0.2224,0.362
43,4.8949,0.2215,0.3619
44,4.8979,0.2227,0.3619
45,4.9191,0.2221,0.3615
46,4.906,0.2221,0.3619
47,4.8978,0.2241,0.3621
48,4.9053,0.2251,0.3625
49,4.8964,0.221,0.3619
50,4.8985,0.2201,0.3617
51,4.8949,0.222,0.3619
52,4.8833,0.2239,0.3622
53,4.8963,0.219,0.361
54,4.903,0.2232,0.3626
55,4.8896,0.2242,0.3621
56,4.9153,0.222,0.3617
57,4.8926,0.2236,0.3623
58,4.9008,0.2232,0.3623
59,4.9013,0.222,0.3615
60,4.9079,0.2217,0.3619
61,4.8964,0.2211,0.3615
62,4.9056,0.224,0.362
63,4.8903,0.2215,0.3621
64,4.8793,0.2211,0.3619
65,4.8816,0.2225,0.3619
66,4.9032,0.2224,0.3618
67,4.857,0.2232,0.3619
68,4.8841,0.2257,0.3621
69,4.8693,0.2219,0.3618
70,4.8896,0.2233,0.3619
71,4.8887,0.2236,0.3623
72,4.8827,0.2221,0.3621
73,4.9108,0.2204,0.3618
74,4.8974,0.2235,0.3623
75,4.909,0.2219,0.362
76,4.8943,0.2216,0.3618
77,4.8961,0.2228,0.3621
78,4.8795,0.2226,0.362
79,4.884,0.2217,0.3616
80,4.8945,0.2227,0.3624
81,4.8937,0.2243,0.3623
82,4.9035,0.2224,0.362
83,4.893,0.2216,0.3619
84,4.8766,0.2229,0.3618
85,4.8889,0.2243,0.3624
86,4.8856,0.2217,0.3621
87,4.897,0.2219,0.362
88,4.8836,0.2236,0.3618
89,4.9001,0.2219,0.3616
90,4.8824,0.2242,0.3623
91,4.9023,0.221,0.3616
92,4.8938,0.225,0.3624
93,4.8974,0.2202,0.3618
94,4.8904,0.2206,0.3614
95,4.876,0.2212,0.3618
96,4.8932,0.2219,0.3618
97,4.9099,0.2216,0.3618
98,4.9122,0.2221,0.3618
99,4.8926,0.2202,0.3615
