,fkgl,bleu,sari
0,4.9982,0.2339,0.3628
1,4.9893,0.2331,0.3626
2,4.9946,0.2339,0.3626
3,4.9843,0.2342,0.3629
4,4.9796,0.2334,0.3626
5,4.987,0.2331,0.3626
6,4.9939,0.2337,0.3626
7,4.9997,0.2359,0.363
8,4.983,0.2333,0.3626
9,4.9832,0.2335,0.3626
10,4.9891,0.2337,0.3627
11,4.9817,0.233,0.3624
12,4.9891,0.2337,0.3627
13,4.9769,0.2338,0.3625
14,4.9789,0.2347,0.3628
15,4.9949,0.2335,0.3627
16,4.9991,0.2348,0.3627
17,5.0013,0.2334,0.3626
18,4.9921,0.2326,0.3625
19,4.9964,0.2326,0.3624
20,4.9937,0.2341,0.3627
21,4.9954,0.2331,0.3626
22,4.9994,0.2342,0.3627
23,4.9929,0.2341,0.3626
24,4.9973,0.2333,0.3624
25,5.0001,0.2334,0.3626
26,4.9975,0.2334,0.3625
27,4.9876,0.2345,0.3627
28,4.9812,0.2329,0.3625
29,4.9856,0.2337,0.3627
30,4.9866,0.2326,0.3623
31,4.9901,0.2326,0.3623
32,4.9939,0.2341,0.3627
33,4.987,0.2345,0.3627
34,5.0028,0.2338,0.3627
35,4.9919,0.2344,0.3627
36,5.006,0.2335,0.3626
37,4.9904,0.233,0.3625
38,4.995,0.2346,0.3627
39,4.9927,0.2336,0.3627
40,4.9823,0.2341,0.3625
41,4.9851,0.2345,0.3629
42,4.9747,0.2341,0.3626
43,4.9843,0.2337,0.3626
44,4.9983,0.2324,0.3626
45,4.9876,0.234,0.3626
46,4.9838,0.2342,0.3629
47,4.9819,0.2338,0.3626
48,4.9931,0.2335,0.3626
49,4.9903,0.2348,0.3628
50,5.0074,0.234,0.3626
51,4.9956,0.2335,0.3625
52,4.9792,0.2347,0.3627
53,4.9988,0.2348,0.3628
54,4.9944,0.2337,0.3626
55,4.9895,0.2335,0.3626
56,5.0066,0.2339,0.3628
57,4.9933,0.2333,0.3625
58,4.9897,0.2341,0.3628
59,4.9865,0.2329,0.3627
60,4.9863,0.2339,0.3626
61,4.9995,0.2333,0.3626
62,4.9834,0.2333,0.3625
63,4.9927,0.234,0.3628
64,4.9899,0.233,0.3625
65,5.0005,0.2325,0.3625
66,4.9946,0.2343,0.3627
67,4.9944,0.2329,0.3626
68,4.9931,0.2335,0.3626
69,4.9904,0.2333,0.3627
70,4.9997,0.2342,0.3627
71,4.9848,0.2342,0.3627
72,4.9844,0.234,0.3628
73,4.992,0.2337,0.3628
74,4.9893,0.2321,0.3624
75,4.9895,0.2351,0.3629
76,4.9946,0.233,0.3624
77,4.9984,0.2335,0.3627
78,4.9984,0.2343,0.3629
79,4.9906,0.2329,0.3626
80,4.9921,0.2346,0.3628
81,4.9876,0.2341,0.3626
82,4.9756,0.234,0.3626
83,4.9899,0.2331,0.3626
84,4.9959,0.2333,0.3628
85,5.0045,0.2337,0.3626
86,4.9901,0.2333,0.3627
87,4.9899,0.2347,0.3628
88,4.996,0.2347,0.3626
89,4.9906,0.2333,0.3625
90,4.9948,0.2353,0.3628
91,4.9889,0.2322,0.3625
92,4.9954,0.233,0.3625
93,4.998,0.2343,0.3627
94,5.0032,0.2342,0.3627
95,4.9864,0.2349,0.3628
96,4.9868,0.2331,0.3626
97,4.9962,0.2345,0.3629
98,4.9904,0.2338,0.3629
99,4.9893,0.2335,0.3626
