,fkgl,bleu,sari
0,4.8243,0.2162,0.3612
1,4.8661,0.2171,0.3615
2,4.8703,0.2187,0.3617
3,4.8693,0.2175,0.3615
4,4.8577,0.2167,0.3614
5,4.8653,0.2217,0.3622
6,4.8594,0.2173,0.3616
7,4.8639,0.2198,0.3619
8,4.8509,0.221,0.3624
9,4.8525,0.2188,0.3622
10,4.8543,0.2185,0.3618
11,4.9004,0.2194,0.3619
12,4.8615,0.2195,0.3621
13,4.8689,0.2182,0.3618
14,4.8599,0.2181,0.3614
15,4.8372,0.2159,0.3612
16,4.8518,0.2218,0.3621
17,4.8487,0.2203,0.3621
18,4.8615,0.2193,0.3619
19,4.8487,0.2148,0.3612
20,4.8655,0.2184,0.3617
21,4.8326,0.2195,0.3617
22,4.8409,0.2181,0.3616
23,4.8648,0.2183,0.362
24,4.9102,0.2155,0.3614
25,4.8602,0.2189,0.3618
26,4.8968,0.2177,0.3617
27,4.8643,0.2176,0.3619
28,4.8663,0.2179,0.3616
29,4.8523,0.219,0.3619
30,4.8547,0.2144,0.3612
31,4.848,0.2182,0.3621
32,4.8695,0.22,0.362
33,4.8567,0.2177,0.3616
34,4.8443,0.2174,0.3615
35,4.8732,0.2173,0.3616
36,4.8605,0.2171,0.3611
37,4.87,0.2188,0.3617
38,4.8661,0.2161,0.3611
39,4.8455,0.2195,0.3619
40,4.8585,0.2204,0.3618
41,4.8805,0.2178,0.3615
42,4.8633,0.2183,0.362
43,4.8726,0.2212,0.362
44,4.8823,0.2169,0.3618
45,4.8685,0.2179,0.3614
46,4.8493,0.2198,0.3621
47,4.8643,0.2196,0.3618
48,4.8684,0.2193,0.3616
49,4.8809,0.2182,0.3618
50,4.8677,0.2169,0.3615
51,4.865,0.2198,0.3619
52,4.8627,0.2177,0.3617
53,4.855,0.2167,0.3614
54,4.865,0.22,0.3623
55,4.861,0.2176,0.3613
56,4.8455,0.2187,0.3621
57,4.8375,0.2207,0.362
58,4.8633,0.2201,0.3619
59,4.86,0.2197,0.3616
60,4.8686,0.2185,0.3618
61,4.863,0.2195,0.362
62,4.852,0.2192,0.3615
63,4.8689,0.22,0.3617
64,4.8461,0.2199,0.362
65,4.8784,0.2211,0.3622
66,4.8695,0.2176,0.3617
67,4.861,0.2167,0.3618
68,4.8489,0.2169,0.3616
69,4.8706,0.2168,0.3614
70,4.8713,0.2179,0.3617
71,4.8476,0.2193,0.3615
72,4.8798,0.2172,0.3613
73,4.8765,0.2227,0.3624
74,4.8889,0.2169,0.3614
75,4.8628,0.2212,0.3625
76,4.8579,0.2175,0.3618
77,4.8582,0.2185,0.3622
78,4.8368,0.2158,0.3616
79,4.881,0.2182,0.3618
80,4.8933,0.2185,0.362
81,4.8889,0.2197,0.3619
82,4.8561,0.218,0.3614
83,4.8576,0.2183,0.3617
84,4.8531,0.2188,0.3618
85,4.8536,0.2197,0.3618
86,4.8639,0.2209,0.3622
87,4.8769,0.2184,0.3616
88,4.8662,0.218,0.3615
89,4.8735,0.2188,0.3617
90,4.8581,0.2171,0.3615
91,4.8689,0.2183,0.3617
92,4.8909,0.2179,0.3615
93,4.9189,0.2192,0.3616
94,4.8767,0.2201,0.3618
95,4.8563,0.2158,0.3614
96,4.8471,0.218,0.3617
97,4.8503,0.2174,0.3615
98,4.8685,0.2175,0.3617
99,4.8713,0.21600000000000005,0.3612
