,fkgl,bleu,sari
0,3.614,0.2263,0.36200000000000004
1,3.5898,0.2251,0.3618
2,3.5798,0.2261,0.3619
3,3.6126,0.2262,0.3622
4,3.5957,0.2256,0.3621
5,3.6098,0.2258,0.36200000000000004
6,3.605,0.2253,0.3619
7,3.6188,0.2256,0.36200000000000004
8,3.5987,0.2245,0.3616
9,3.6051,0.2242,0.3621
10,3.5949,0.2251,0.3619
11,3.6147,0.2265,0.3618
12,3.5927,0.2257,0.36200000000000004
13,3.6016,0.2239,0.3617
14,3.5766,0.2257,0.3619
15,3.588,0.2254,0.3618
16,3.6123,0.2263,0.3622
17,3.6049,0.2251,0.3619
18,3.6063,0.2259,0.3614
19,3.6035,0.2258,0.3621
20,3.5978,0.2256,0.3621
21,3.6165,0.2259,0.3621
22,3.6151,0.2272,0.36200000000000004
23,3.5789,0.2246,0.3618
24,3.5912,0.2254,0.36200000000000004
25,3.6172,0.2258,0.3619
26,3.6243,0.223,0.3616
27,3.6033,0.2255,0.3619
28,3.5936,0.2262,0.3619
29,3.6109,0.2231,0.3618
30,3.5977,0.2276,0.3621
31,3.622,0.2277,0.3624
32,3.5684,0.2255,0.3617
33,3.604,0.2258,0.36200000000000004
34,3.5976,0.2264,0.3621
35,3.6195,0.2243,0.3619
36,3.6117,0.2279,0.3621
37,3.6211,0.2258,0.3621
38,3.5902,0.2251,0.3621
39,3.599,0.2238,0.3614
40,3.5843,0.2258,0.3617
41,3.617,0.2266,0.3622
42,3.611,0.2259,0.3619
43,3.6059,0.2272,0.3621
44,3.5797,0.2255,0.36200000000000004
45,3.6027,0.2231,0.3617
46,3.5965,0.2241,0.3618
47,3.6175,0.22699999999999998,0.36200000000000004
48,3.5869,0.228,0.3621
49,3.6122,0.2282,0.3623
50,3.5906,0.2247,0.3619
51,3.5965,0.2275,0.3623
52,3.5955,0.2235,0.3618
53,3.5838,0.2284,0.3625
54,3.6008,0.22699999999999998,0.3622
55,3.5761,0.22699999999999998,0.3623
56,3.6236,0.2243,0.3617
57,3.5835,0.2244,0.3618
58,3.6123,0.2263,0.3622
59,3.5864,0.2255,0.3621
60,3.6223,0.2252,0.36200000000000004
61,3.598,0.2252,0.36200000000000004
62,3.6079,0.2276,0.3623
63,3.5975,0.2244,0.36200000000000004
64,3.5911,0.2249,0.3621
65,3.6123,0.225,0.3618
66,3.5916,0.2254,0.3619
67,3.5889,0.2237,0.3619
68,3.5964,0.2258,0.36200000000000004
69,3.5982,0.2276,0.3623
70,3.5884,0.2256,0.3621
71,3.6055,0.2262,0.36200000000000004
72,3.5904,0.2263,0.3621
73,3.608,0.2257,0.3621
74,3.6096,0.2223,0.3616
75,3.5956,0.2267,0.3622
76,3.6025,0.2257,0.3621
77,3.617,0.2265,0.3621
78,3.5949,0.2254,0.3617
79,3.6115,0.2261,0.3621
80,3.588,0.2261,0.3619
81,3.5955,0.2275,0.3621
82,3.5952,0.226,0.3621
83,3.597,0.2251,0.3619
84,3.6173,0.2279,0.3622
85,3.5978,0.2267,0.3622
86,3.5951,0.22399999999999998,0.3619
87,3.5754,0.2255,0.3617
88,3.6082,0.2259,0.3622
89,3.6203,0.2261,0.3621
90,3.5801,0.2266,0.3621
91,3.5982,0.2254,0.3617
92,3.5825,0.2271,0.3621
93,3.6044,0.2234,0.3616
94,3.5916,0.2252,0.3618
95,3.6096,0.2288,0.3626
96,3.6203,0.2281,0.3623
97,3.5842,0.226,0.3619
98,3.6219,0.2282,0.3623
99,3.5965,0.2275,0.3622
