,fkgl,bleu,sari
0,1.8973,0.1802,0.3576
1,1.9275,0.1786,0.3573
2,1.9048,0.1784,0.3577
3,1.9652,0.1813,0.3582
4,1.9336,0.18,0.3578
5,1.9135,0.1809,0.3579
6,1.9469,0.1811,0.3579
7,1.9085,0.1812,0.3583
8,1.909,0.1829,0.3584
9,1.9463,0.1786,0.3578
10,1.8935,0.1826,0.3584
11,1.8952,0.1802,0.3578
12,1.9213,0.1793,0.3576
13,1.8956,0.1787,0.3578
14,1.8906,0.1815,0.3581
15,1.8969,0.1811,0.358
16,1.9304,0.1793,0.3573
17,1.908,0.1797,0.3579
18,1.9116,0.182,0.3583
19,1.9188,0.1815,0.3581
20,1.9315,0.1796,0.3578
21,1.9363,0.1807,0.3584
22,1.909,0.1819,0.3582
23,1.8991,0.183,0.3585
24,1.9234,0.181,0.3581
25,1.925,0.1794,0.358
26,1.9127,0.179,0.3579
27,1.9182,0.1794,0.3577
28,1.9316,0.179,0.3578
29,1.931,0.179,0.3579
30,1.9239,0.182,0.3581
31,1.91,0.1761,0.3575
32,1.93,0.1793,0.3577
33,1.9023,0.1799,0.3579
34,1.9247,0.1789,0.358
35,1.9365,0.1815,0.3584
36,1.9391,0.1819,0.358
37,1.8762,0.1805,0.358
38,1.9134,0.1819,0.3577
39,1.9439,0.1796,0.3579
40,1.9507,0.1806,0.3582
41,1.9336,0.1821,0.358
42,1.9466,0.1814,0.3583
43,1.8905,0.181,0.3579
44,1.9188,0.1829,0.3585
45,1.9412,0.1831,0.3586
46,1.9286,0.1804,0.3578
47,1.9262,0.178,0.3574
48,1.8878,0.182,0.3582
49,1.9206,0.1763,0.3573
50,1.9389,0.1803,0.3577
51,1.9064,0.1807,0.3581
52,1.8975,0.1795,0.3575
53,1.9082,0.1829,0.3583
54,1.9471,0.1792,0.3576
55,1.9277,0.1817,0.3579
56,1.8916,0.1812,0.3583
57,1.9199,0.1817,0.3582
58,1.9365,0.1804,0.3577
59,1.8954,0.1806,0.358
60,1.9062,0.1819,0.3581
61,1.9215,0.1794,0.3575
62,1.9021,0.1819,0.3581
63,1.9266,0.1795,0.3575
64,1.8978,0.1824,0.3586
65,1.9397,0.1803,0.3577
66,1.8829,0.1809,0.3578
67,1.8905,0.1828,0.3584
68,1.8879,0.1813,0.3578
69,1.893,0.1785,0.3576
70,1.9267,0.179,0.3581
71,1.928,0.1816,0.3579
72,1.8897,0.1811,0.358
73,1.9065,0.182,0.3581
74,1.8809,0.1812,0.3581
75,1.8939,0.1782,0.3576
76,1.8981,0.1796,0.3575
77,1.9048,0.1824,0.358
78,1.9091,0.1822,0.3583
79,1.9554,0.1818,0.3577
80,1.9569,0.1808,0.3583
81,1.91,0.1807,0.3581
82,1.8893,0.1802,0.358
83,1.9205,0.1773,0.3575
84,1.929,0.1788,0.3574
85,1.94,0.1791,0.3575
86,1.9524,0.1795,0.3578
87,1.9103,0.1821,0.3581
88,1.9148,0.1812,0.3581
89,1.9129,0.1807,0.3582
90,1.9562,0.1824,0.3581
91,1.9166,0.1797,0.3576
92,1.8883,0.1791,0.3576
93,1.8987,0.1826,0.3582
94,1.9525,0.1797,0.3578
95,1.9135,0.1804,0.3579
96,1.908,0.178,0.3576
97,1.9149,0.1818,0.3583
98,1.8897,0.1819,0.3578
99,1.9452,0.1835,0.358
