,fkgl,bleu,sari
0,1.4567,0.1988,0.3606
1,1.4478,0.1999,0.3605
2,1.4647,0.1996,0.3604
3,1.4339,0.1982,0.3601
4,1.4348,0.2,0.3605
5,1.4357,0.1982,0.3602
6,1.4413,0.2004,0.3608
7,1.4179,0.1992,0.3607
8,1.4283,0.1956,0.3598
9,1.418,0.1923,0.3594
10,1.43,0.1979,0.3604
11,1.4487,0.2003,0.3607
12,1.4333,0.1959,0.3598
13,1.4505,0.1973,0.36
14,1.471,0.1977,0.3602
15,1.4117,0.19699999999999998,0.36
16,1.442,0.1959,0.3599
17,1.3955,0.1957,0.3597
18,1.4428,0.1957,0.3598
19,1.4528,0.1963,0.3598
20,1.4225,0.1985,0.3604
21,1.4089,0.1974,0.3601
22,1.4386,0.1979,0.3603
23,1.4509,0.1981,0.3598
24,1.4775,0.1968,0.3598
25,1.401,0.1959,0.3601
26,1.4403,0.1963,0.3601
27,1.4266,0.1945,0.3595
28,1.4343,0.198,0.3601
29,1.4246,0.1966,0.3605
30,1.4399,0.1988,0.3603
31,1.4674,0.1968,0.3598
32,1.4643,0.1972,0.3601
33,1.4546,0.1978,0.3601
34,1.4423,0.1975,0.36
35,1.4574,0.1995,0.3602
36,1.4332,0.1965,0.3602
37,1.4411,0.1974,0.3601
38,1.4108,0.2001,0.3604
39,1.4421,0.2006,0.3604
40,1.4515,0.1983,0.3606
41,1.4353,0.1998,0.3605
42,1.4437,0.1943,0.3596
43,1.4206,0.1999,0.3609
44,1.4435,0.1971,0.3596
45,1.4215,0.1967,0.3601
46,1.401,0.2012,0.3608
47,1.4055,0.1989,0.3606
48,1.4236,0.1964,0.3598
49,1.4583,0.1992,0.3603
50,1.4173,0.1961,0.3597
51,1.4197,0.1954,0.3592
52,1.4548,0.196,0.3593
53,1.4187,0.2005,0.361
54,1.4664,0.1979,0.3605
55,1.4378,0.1959,0.3601
56,1.4784,0.2005,0.3607
57,1.4204,0.1954,0.3599
58,1.4251,0.1961,0.3595
59,1.4718,0.2001,0.3605
60,1.4697,0.1974,0.3599
61,1.395,0.1971,0.3601
62,1.4528,0.1963,0.3598
63,1.4187,0.1968,0.36
64,1.4169,0.1939,0.3597
65,1.444,0.1985,0.3605
66,1.4841,0.1989,0.3602
67,1.4228,0.1996,0.36
68,1.4461,0.1977,0.3601
69,1.4176,0.1958,0.3599
70,1.4245,0.198,0.3604
71,1.4264,0.1988,0.3606
72,1.4321,0.2019,0.3609
73,1.452,0.2003,0.3607
74,1.4145,0.1971,0.36
75,1.4798,0.1981,0.3601
76,1.4527,0.2005,0.3605
77,1.4351,0.1988,0.3603
78,1.3927,0.1964,0.3599
79,1.4284,0.19899999999999998,0.3602
80,1.4406,0.1978,0.3603
81,1.4425,0.1954,0.3593
82,1.4061,0.2004,0.3602
83,1.435,0.1935,0.3595
84,1.4435,0.1966,0.3599
85,1.4614,0.2005,0.3603
86,1.4184,0.1957,0.3599
87,1.4314,0.1979,0.3602
88,1.4014,0.1982,0.36
89,1.4562,0.2003,0.3601
90,1.414,0.1954,0.36
91,1.4302,0.1997,0.3604
92,1.4441,0.1957,0.3596
93,1.4096,0.1995,0.3604
94,1.4227,0.1963,0.3599
95,1.4416,0.1944,0.3597
96,1.4535,0.1985,0.36
97,1.4536,0.1961,0.36
98,1.4239,0.2007,0.3606
99,1.407,0.1978,0.3603
