,fkgl,bleu,sari
0,1.9569,0.2056,0.3608
1,2.0098,0.2066,0.3609
2,2.0287,0.2039,0.3601
3,1.9417,0.2007,0.36
4,2.0089,0.2082,0.3612
5,2.0237,0.205,0.3606
6,1.9797,0.2055,0.3607
7,2.0167,0.20600000000000002,0.3607
8,1.9855,0.2066,0.3606
9,1.9738,0.2053,0.3605
10,1.9972,0.2066,0.3606
11,2.0219,0.2028,0.3602
12,2.0146,0.2076,0.361
13,2.0058,0.2079,0.3609
14,1.9909,0.2048,0.3606
15,2.0007,0.2029,0.3604
16,2.0138,0.209,0.3609
17,2.006,0.2095,0.3612
18,1.9964,0.203,0.3603
19,1.97,0.2049,0.361
20,1.9923,0.2025,0.3605
21,1.9905,0.2052,0.3604
22,1.9807,0.207,0.3611
23,2.0071,0.2052,0.3602
24,2.0123,0.2068,0.3607
25,2.0047,0.2033,0.3606
26,1.9789,0.2074,0.3607
27,1.9712,0.20600000000000002,0.3606
28,2.002,0.2061,0.3608
29,2.003,0.2066,0.361
30,1.9972,0.2042,0.3605
31,2.0025,0.2063,0.3607
32,2.0076,0.2042,0.3606
33,2.0234,0.2006,0.3603
34,2.0034,0.207,0.3608
35,2.0279,0.2071,0.3606
36,2.0047,0.205,0.3606
37,1.9957,0.2044,0.3604
38,1.9985,0.2037,0.3605
39,2.0246,0.2042,0.3604
40,2.0115,0.2074,0.3605
41,1.9895,0.2054,0.3605
42,2.0624,0.2061,0.3607
43,1.9974,0.2057,0.3606
44,2.0185,0.2055,0.3607
45,1.9736,0.2003,0.3598
46,2.0024,0.20800000000000002,0.3612
47,2.0071,0.2055,0.3601
48,2.0163,0.2044,0.3606
49,2.0255,0.2079,0.3609
50,2.0092,0.207,0.3609
51,2.0103,0.2075,0.3606
52,2.006,0.2073,0.3609
53,1.9407,0.2047,0.3605
54,1.989,0.2067,0.3607
55,2.015,0.2059,0.3607
56,1.9857,0.2053,0.3608
57,1.9671,0.2051,0.3603
58,1.9975,0.2061,0.3608
59,2.0201,0.2077,0.3606
60,1.9963,0.2066,0.3609
61,2.0314,0.2069,0.3608
62,2.0225,0.2076,0.3604
63,2.0022,0.2036,0.3606
64,1.985,0.2058,0.3606
65,1.9863,0.205,0.3605
66,2.0155,0.2051,0.3601
67,2.0105,0.2043,0.3603
68,1.9931,0.207,0.3609
69,1.9838,0.207,0.3613
70,1.9689,0.2088,0.3611
71,2.0162,0.207,0.3606
72,2.0038,0.20600000000000002,0.3604
73,2.0046,0.2055,0.3604
74,1.9601,0.2049,0.3611
75,1.9808,0.2059,0.3608
76,1.9797,0.2069,0.3608
77,1.9896,0.2074,0.3608
78,1.9979,0.2012,0.3597
79,2.0234,0.2053,0.3603
80,2.0228,0.2074,0.3609
81,1.9886,0.2066,0.3609
82,2.0609,0.2065,0.3604
83,1.9834,0.2055,0.3607
84,2.0091,0.2053,0.3601
85,2.0227,0.2033,0.3602
86,2.0161,0.2066,0.3609
87,2.0133,0.2062,0.3607
88,1.9877,0.2067,0.3604
89,2.0191,0.2073,0.3608
90,1.9937,0.2057,0.36
91,2.0033,0.2033,0.3603
92,2.0069,0.2087,0.3609
93,1.9949,0.2044,0.3604
94,2.0422,0.2047,0.3603
95,1.9934,0.2035,0.3602
96,1.9175,0.2078,0.3609
97,2.0041,0.201,0.3601
98,2.0201,0.2078,0.3609
99,1.9788,0.2057,0.3602
