,fkgl,bleu,sari
0,1.4108,0.0884,0.3461
1,1.4687,0.0874,0.3461
2,1.4707,0.0882,0.3461
3,1.5314,0.0894,0.3463
4,1.488,0.0886,0.3462
5,1.4492,0.0911,0.3465
6,1.5115,0.0898,0.3464
7,1.4175,0.0884,0.3462
8,1.4534,0.0904,0.3465
9,1.4539,0.0892,0.3462
10,1.4344,0.0873,0.346
11,1.4618,0.0897,0.3463
12,1.4957,0.0892,0.3462
13,1.4368,0.0885,0.3461
14,1.4548,0.0876,0.3461
15,1.4641,0.0859,0.3457
16,1.4878,0.0867,0.3459
17,1.4696,0.0884,0.3463
18,1.4417,0.0891,0.3463
19,1.4516,0.0891,0.3464
20,1.4258,0.0899,0.3464
21,1.4456,0.0869,0.3459
22,1.5124,0.0867,0.346
23,1.4492,0.088,0.3461
24,1.4914,0.0916,0.3467
25,1.4713,0.0867,0.3461
26,1.4274,0.0909,0.3465
27,1.4686,0.0883,0.3463
28,1.4828,0.0869,0.346
29,1.4521,0.0893,0.3464
30,1.471,0.0875,0.3461
31,1.4713,0.0884,0.3463
32,1.4555,0.0897,0.3463
33,1.4274,0.087,0.346
34,1.417,0.088,0.3462
35,1.3637,0.0877,0.3461
36,1.4232,0.0895,0.3465
37,1.4571,0.0887,0.3461
38,1.4258,0.0854,0.3458
39,1.42,0.0909,0.3466
40,1.4472,0.0903,0.3465
41,1.4414,0.0883,0.3463
42,1.4632,0.0885,0.3463
43,1.4722,0.0887,0.3463
44,1.4817,0.0884,0.3462
45,1.4461,0.088,0.3462
46,1.488,0.0892,0.3464
47,1.4946,0.0877,0.346
48,1.4369,0.0885,0.3461
49,1.4446,0.0882,0.346
50,1.4747,0.0877,0.3462
51,1.4697,0.0881,0.3462
52,1.4437,0.0885,0.3463
53,1.4175,0.0898,0.3464
54,1.4736,0.0878,0.3462
55,1.4053,0.0873,0.346
56,1.4751,0.0877,0.346
57,1.5025,0.0863,0.3458
58,1.3823,0.0893,0.3464
59,1.4467,0.0885,0.3462
60,1.465,0.0887,0.3462
61,1.5077,0.0882,0.3462
62,1.4961,0.0896,0.3464
63,1.4724,0.0868,0.346
64,1.465,0.0865,0.3458
65,1.4177,0.0889,0.3461
66,1.453,0.0874,0.3461
67,1.4233,0.089,0.3464
68,1.4718,0.0896,0.3464
69,1.4163,0.0883,0.3461
70,1.4615,0.0892,0.3464
71,1.4968,0.0882,0.3461
72,1.4296,0.0883,0.3461
73,1.4722,0.0887,0.3464
74,1.4686,0.0896,0.3463
75,1.4304,0.0853,0.3459
76,1.4211,0.0886,0.346
77,1.444,0.0894,0.3463
78,1.4527,0.0883,0.3462
79,1.4799,0.0878,0.3462
80,1.4499,0.0887,0.3461
81,1.4258,0.0868,0.3459
82,1.4276,0.0903,0.3462
83,1.436,0.0902,0.3466
84,1.4475,0.0878,0.346
85,1.386,0.0872,0.3459
86,1.4158,0.0882,0.346
87,1.4245,0.0893,0.3463
88,1.4335,0.0888,0.3463
89,1.4338,0.0902,0.3465
90,1.4459,0.0888,0.3463
91,1.4846,0.0895,0.3464
92,1.4113,0.0858,0.3458
93,1.4165,0.0885,0.3462
94,1.4722,0.0862,0.3458
95,1.4991,0.0888,0.3463
96,1.4175,0.0877,0.346
97,1.4545,0.0898,0.3462
98,1.4374,0.0894,0.3463
99,1.4566,0.0888,0.3463
