,fkgl,bleu,sari
0,5.2919,0.2083,0.3596
1,5.3048,0.2091,0.3598
2,5.2844,0.2098,0.3599
3,5.2968,0.209,0.3599
4,5.2993,0.21,0.36
5,5.2928,0.2084,0.3597
6,5.2977,0.2093,0.3597
7,5.2995,0.2078,0.3596
8,5.3024,0.2087,0.3598
9,5.309,0.2085,0.3598
10,5.2908,0.2088,0.3598
11,5.2898,0.2085,0.3598
12,5.2867,0.2085,0.3598
13,5.2905,0.2085,0.3598
14,5.3025,0.2092,0.3599
15,5.3087,0.2085,0.3595
16,5.3004,0.2093,0.3599
17,5.2972,0.2093,0.3599
18,5.2906,0.2085,0.3597
19,5.3058,0.2099,0.3599
20,5.2942,0.2077,0.3596
21,5.2863,0.2078,0.3597
22,5.2949,0.2091,0.3599
23,5.3022,0.207,0.3595
24,5.2945,0.2083,0.3599
25,5.2809,0.2083,0.3596
26,5.3073,0.2092,0.3599
27,5.2895,0.2082,0.3597
28,5.2969,0.2083,0.3597
29,5.2901,0.2081,0.3596
30,5.3034,0.2089,0.3597
31,5.2911,0.2088,0.3598
32,5.2907,0.2092,0.3599
33,5.2943,0.2094,0.3599
34,5.3019,0.2087,0.3598
35,5.2931,0.208,0.3597
36,5.3008,0.209,0.3599
37,5.2973,0.21,0.3599
38,5.2981,0.2093,0.3599
39,5.2863,0.2086,0.3598
40,5.2895,0.2084,0.3597
41,5.2905,0.2089,0.3598
42,5.2977,0.2088,0.3599
43,5.2914,0.2091,0.3598
44,5.2899,0.209,0.3598
45,5.3017,0.209,0.3599
46,5.3082,0.2085,0.3597
47,5.3,0.2083,0.3596
48,5.2962,0.2089,0.3597
49,5.2909,0.2086,0.3598
50,5.2996,0.2091,0.3596
51,5.2952,0.2093,0.3599
52,5.2904,0.2088,0.3598
53,5.2914,0.2077,0.3594
54,5.2929,0.2083,0.3597
55,5.2805,0.2083,0.3598
56,5.2936,0.2093,0.3598
57,5.296,0.2086,0.3598
58,5.2945,0.2082,0.3597
59,5.2791,0.2076,0.3595
60,5.2961,0.2095,0.3599
61,5.298,0.2088,0.3598
62,5.2993,0.2086,0.3597
63,5.3029,0.2084,0.3598
64,5.2976,0.2087,0.3596
65,5.2959,0.2101,0.36
66,5.3051,0.2084,0.3598
67,5.2979,0.2088,0.3598
68,5.2796,0.2088,0.3598
69,5.3024,0.2095,0.36
70,5.3054,0.2086,0.3598
71,5.2937,0.2093,0.3599
72,5.2873,0.2097,0.36
73,5.308,0.2093,0.3599
74,5.2933,0.2089,0.3598
75,5.3011,0.2091,0.3597
76,5.2897,0.2096,0.3598
77,5.2923,0.2093,0.3599
78,5.3029,0.2077,0.3596
79,5.2876,0.2081,0.3596
80,5.2983,0.2087,0.3599
81,5.3079,0.2093,0.36
82,5.3091,0.2095,0.3599
83,5.2913,0.2083,0.3596
84,5.2961,0.208,0.3597
85,5.2846,0.2092,0.3598
86,5.2943,0.2097,0.3599
87,5.2873,0.208,0.3595
88,5.3022,0.2087,0.3597
89,5.3031,0.2089,0.3598
90,5.2972,0.2082,0.3597
91,5.2942,0.2092,0.3599
92,5.2899,0.2088,0.3599
93,5.2976,0.208,0.3597
94,5.2931,0.2078,0.3597
95,5.2904,0.2095,0.3599
96,5.3065,0.2088,0.3598
97,5.3,0.2087,0.3599
98,5.2917,0.2085,0.3598
99,5.3012,0.2092,0.3599
