,fkgl,bleu,sari
0,4.308,0.1062,0.3469
1,4.284,0.1056,0.3469
2,4.2937,0.107,0.347
3,4.2692,0.1065,0.3469
4,4.2847,0.1067,0.347
5,4.2935,0.1069,0.347
6,4.2656,0.1065,0.3469
7,4.2924,0.1064,0.347
8,4.2923,0.1057,0.3469
9,4.2737,0.1066,0.347
10,4.2989,0.1068,0.347
11,4.2843,0.1061,0.347
12,4.2896,0.1072,0.3471
13,4.2948,0.1065,0.347
14,4.2879,0.1059,0.3469
15,4.2868,0.1065,0.347
16,4.2891,0.1071,0.347
17,4.2803,0.1068,0.347
18,4.2906,0.1068,0.347
19,4.2899,0.1065,0.3471
20,4.2998,0.1063,0.347
21,4.277,0.1069,0.3471
22,4.2802,0.1061,0.3469
23,4.2932,0.1064,0.3469
24,4.2926,0.1065,0.347
25,4.2796,0.107,0.347
26,4.295,0.1065,0.347
27,4.2834,0.1064,0.3469
28,4.2896,0.1072,0.3471
29,4.2882,0.1061,0.3469
30,4.2683,0.1067,0.347
31,4.2917,0.1054,0.3469
32,4.2986,0.1058,0.3469
33,4.2861,0.1064,0.3469
34,4.2826,0.1065,0.347
35,4.2956,0.1056,0.3468
36,4.2814,0.1068,0.3471
37,4.2884,0.1068,0.347
38,4.2926,0.107,0.347
39,4.2715,0.1065,0.347
40,4.2751,0.1054,0.3467
41,4.2785,0.105,0.3468
42,4.2989,0.1057,0.3469
43,4.2819,0.1072,0.3471
44,4.2805,0.106,0.3468
45,4.2659,0.1066,0.3471
46,4.2934,0.1063,0.347
47,4.2959,0.1072,0.3471
48,4.2963,0.1059,0.3469
49,4.2843,0.1064,0.3469
50,4.2938,0.1058,0.3469
51,4.2819,0.1067,0.347
52,4.2965,0.1071,0.3471
53,4.2958,0.1069,0.347
54,4.2938,0.106,0.3469
55,4.2799,0.1049,0.3468
56,4.2852,0.1056,0.3468
57,4.2868,0.1059,0.3469
58,4.3037,0.1057,0.3469
59,4.28,0.1058,0.3469
60,4.2923,0.1066,0.3471
61,4.2698,0.1059,0.347
62,4.2816,0.1052,0.3468
63,4.2867,0.1068,0.347
64,4.2944,0.1061,0.3469
65,4.2784,0.1059,0.3469
66,4.2814,0.1064,0.347
67,4.2826,0.1065,0.347
68,4.2819,0.107,0.347
69,4.2799,0.1055,0.3467
70,4.2828,0.106,0.3469
71,4.2813,0.1072,0.3471
72,4.2681,0.1064,0.3469
73,4.2846,0.1061,0.3469
74,4.2829,0.1063,0.347
75,4.3063,0.1065,0.3469
76,4.2965,0.1059,0.3469
77,4.2772,0.1061,0.347
78,4.2864,0.1068,0.347
79,4.2732,0.1056,0.3469
80,4.2965,0.1066,0.347
81,4.2951,0.1067,0.3471
82,4.2902,0.1065,0.347
83,4.2908,0.106,0.3469
84,4.2967,0.1059,0.3469
85,4.2856,0.1064,0.3469
86,4.2905,0.1064,0.3471
87,4.2933,0.1059,0.3469
88,4.2956,0.1066,0.347
89,4.2855,0.1058,0.3469
90,4.2817,0.1052,0.3468
91,4.2941,0.1055,0.3468
92,4.3042,0.1061,0.347
93,4.2908,0.1058,0.3469
94,4.2995,0.1056,0.3469
95,4.3012,0.1063,0.3468
96,4.2752,0.1065,0.347
97,4.3031,0.1066,0.3469
98,4.3006,0.1066,0.3469
99,4.2914,0.1064,0.347
