,fkgl,bleu,sari
0,2.5654,0.214,0.3604
1,2.595,0.2153,0.3613
2,2.5635,0.2144,0.3613
3,2.5733,0.2163,0.3616
4,2.5754,0.2144,0.3613
5,2.5697,0.2124,0.3611
6,2.5427,0.21100000000000002,0.3608
7,2.5756,0.2144,0.361
8,2.5872,0.2145,0.3613
9,2.576,0.2132,0.3611
10,2.5679,0.2108,0.3604
11,2.5524,0.2152,0.3617
12,2.5636,0.2153,0.3613
13,2.5888,0.2154,0.3616
14,2.5566,0.2143,0.3611
15,2.5646,0.2136,0.3612
16,2.5654,0.2128,0.3606
17,2.5413,0.2154,0.3612
18,2.5427,0.2133,0.3612
19,2.5601,0.2124,0.3606
20,2.609,0.2143,0.3612
21,2.5614,0.214,0.3611
22,2.5533,0.2114,0.3609
23,2.5801,0.215,0.3617
24,2.5467,0.2134,0.3612
25,2.5453,0.2145,0.3613
26,2.5547,0.2137,0.361
27,2.5609,0.2151,0.3612
28,2.5563,0.215,0.3611
29,2.5593,0.2142,0.3608
30,2.5937,0.2142,0.3611
31,2.59,0.2153,0.3613
32,2.5631,0.2158,0.3616
33,2.5561,0.2142,0.3607
34,2.5771,0.2124,0.3613
35,2.5906,0.2121,0.361
36,2.5528,0.2151,0.3613
37,2.567,0.2111,0.3607
38,2.5531,0.2148,0.3616
39,2.574,0.214,0.3611
40,2.5773,0.2126,0.3611
41,2.5545,0.2146,0.3613
42,2.5532,0.2123,0.3608
43,2.5612,0.2106,0.3604
44,2.5468,0.2143,0.3612
45,2.5718,0.2107,0.3608
46,2.552,0.2136,0.3612
47,2.602,0.2149,0.3613
48,2.5633,0.2168,0.3616
49,2.5787,0.2152,0.3613
50,2.5681,0.2102,0.3608
51,2.5867,0.2139,0.3612
52,2.5695,0.2136,0.3615
53,2.5736,0.214,0.3613
54,2.5443,0.2145,0.3611
55,2.5539,0.2149,0.3615
56,2.5847,0.2139,0.3611
57,2.5718,0.2146,0.3614
58,2.5765,0.2137,0.3611
59,2.5828,0.2142,0.361
60,2.5815,0.2151,0.3614
61,2.5729,0.2131,0.3612
62,2.5857,0.2116,0.3608
63,2.5567,0.21100000000000002,0.3608
64,2.5654,0.2152,0.3613
65,2.5896,0.2125,0.3612
66,2.5781,0.2137,0.3609
67,2.5405,0.2122,0.3609
68,2.5887,0.2136,0.3611
69,2.5413,0.2156,0.3614
70,2.5864,0.215,0.3613
71,2.5451,0.2131,0.3615
72,2.5823,0.2132,0.3613
73,2.5959,0.2145,0.3614
74,2.5609,0.212,0.3609
75,2.5683,0.21600000000000003,0.3612
76,2.5788,0.2121,0.3609
77,2.5495,0.2134,0.3611
78,2.5692,0.21600000000000003,0.3615
79,2.5746,0.2127,0.3607
80,2.566,0.2126,0.3613
81,2.558,0.212,0.3609
82,2.562,0.2143,0.361
83,2.5815,0.2157,0.3615
84,2.5369,0.214,0.3613
85,2.5639,0.2127,0.361
86,2.5716,0.2138,0.3612
87,2.5522,0.2167,0.3616
88,2.5686,0.2114,0.3608
89,2.5612,0.2146,0.3611
90,2.5821,0.2127,0.361
91,2.5549,0.215,0.3615
92,2.5834,0.2129,0.3612
93,2.5823,0.2158,0.3614
94,2.5642,0.2158,0.3613
95,2.5554,0.2133,0.3612
96,2.5653,0.2136,0.3612
97,2.5486,0.2141,0.3613
98,2.5563,0.212,0.3609
99,2.5336,0.2152,0.3615
