,fkgl,bleu,sari
0,1.936,0.0951,0.3469
1,1.9273,0.0965,0.3472
2,1.9142,0.0954,0.3471
3,1.961,0.0954,0.3468
4,1.8912,0.0963,0.3474
5,1.9298,0.0958,0.3471
6,1.9329,0.0966,0.3473
7,1.9353,0.0968,0.3475
8,1.952,0.0959,0.3473
9,1.9334,0.096,0.3469
10,1.9308,0.0972,0.3473
11,1.9345,0.0963,0.3473
12,1.9557,0.0957,0.3467
13,1.905,0.0964,0.3473
14,1.9597,0.096,0.3471
15,1.9164,0.0959,0.3468
16,1.9351,0.0952,0.347
17,1.9738,0.0945,0.347
18,1.9344,0.0943,0.3468
19,1.9264,0.0955,0.3471
20,1.9123,0.0962,0.347
21,1.9549,0.0951,0.3472
22,1.9314,0.0952,0.3469
23,1.939,0.0968,0.3472
24,1.9381,0.0957,0.3471
25,1.9323,0.0944,0.3468
26,1.9123,0.0942,0.3468
27,1.9495,0.0956,0.3469
28,1.9254,0.0952,0.347
29,1.9481,0.0955,0.3472
30,1.9066,0.0946,0.3471
31,1.9594,0.0956,0.3473
32,1.9207,0.0943,0.3471
33,1.9467,0.095,0.3469
34,1.9032,0.0931,0.3467
35,1.8824,0.0973,0.3475
36,1.9142,0.0964,0.3473
37,1.8896,0.0976,0.3473
38,1.9427,0.096,0.3472
39,1.9333,0.0939,0.3472
40,1.9428,0.0953,0.3469
41,1.9225,0.0931,0.3469
42,1.9166,0.095,0.3471
43,1.934,0.0943,0.3469
44,1.9011,0.094,0.3469
45,1.948,0.0973,0.3473
46,1.9303,0.0959,0.347
47,1.9288,0.0961,0.3471
48,1.9386,0.096,0.3471
49,1.9237,0.0958,0.3472
50,1.9415,0.0957,0.3473
51,1.9149,0.0966,0.3472
52,1.9484,0.0958,0.3472
53,1.9021,0.0959,0.3471
54,1.9294,0.0963,0.3474
55,1.9128,0.0953,0.347
56,1.9342,0.096,0.3472
57,1.9239,0.0975,0.3472
58,1.9219,0.0954,0.3469
59,1.9276,0.094,0.3467
60,1.9372,0.094,0.3471
61,1.9184,0.096,0.347
62,1.9087,0.0976,0.3473
63,1.9143,0.0965,0.3472
64,1.9183,0.0959,0.3469
65,1.9253,0.097,0.3473
66,1.9121,0.0963,0.3473
67,1.9089,0.0971,0.3473
68,1.9387,0.096,0.3473
69,1.936,0.0956,0.3473
70,1.9512,0.0983,0.3475
71,1.918,0.0948,0.3469
72,1.8865,0.0954,0.3469
73,1.9175,0.0967,0.3473
74,1.908,0.096,0.3472
75,1.9289,0.0953,0.347
76,1.9311,0.0976,0.3473
77,1.9664,0.0956,0.3472
78,1.9074,0.0968,0.3473
79,1.8699,0.0953,0.3471
80,1.9383,0.0952,0.3472
81,1.9511,0.0963,0.3471
82,1.9236,0.0943,0.3469
83,1.9428,0.0954,0.3469
84,1.9107,0.0964,0.347
85,1.9283,0.0949,0.3469
86,1.9421,0.0959,0.347
87,1.9708,0.0965,0.3474
88,1.946,0.0961,0.3472
89,1.9494,0.0971,0.3475
90,1.9341,0.0948,0.3471
91,1.9271,0.0961,0.3474
92,1.9428,0.0947,0.347
93,1.9102,0.0934,0.3468
94,1.9281,0.0943,0.3472
95,1.8889,0.0954,0.3471
96,1.9304,0.0954,0.347
97,1.9037,0.0983,0.3475
98,1.9376,0.0968,0.3473
99,1.9828,0.0964,0.3472
