,fkgl,bleu,sari
0,0.8538,0.1622,0.3588
1,0.8475,0.1621,0.3586
2,0.8371,0.1629,0.3589
3,0.8503,0.1607,0.3583
4,0.8642,0.1615,0.3586
5,0.8448,0.1614,0.3586
6,0.8461,0.1632,0.3589
7,0.8579,0.1617,0.3586
8,0.8441,0.1614,0.3587
9,0.851,0.1608,0.3586
10,0.842,0.162,0.3588
11,0.8628,0.1628,0.3588
12,0.8441,0.1632,0.3587
13,0.8441,0.1619,0.3586
14,0.8559,0.163,0.3588
15,0.8358,0.1603,0.3584
16,0.8524,0.1644,0.3591
17,0.8545,0.1625,0.3586
18,0.8614,0.1636,0.359
19,0.8378,0.1644,0.359
20,0.8427,0.1621,0.3588
21,0.842,0.162,0.3586
22,0.8586,0.1614,0.3587
23,0.8482,0.1615,0.3586
24,0.8524,0.1611,0.3585
25,0.842,0.1622,0.3588
26,0.8385,0.1611,0.3588
27,0.8406,0.1614,0.3586
28,0.8378,0.1629,0.3588
29,0.8565,0.163,0.3589
30,0.8524,0.1592,0.3582
31,0.8385,0.1625,0.3587
32,0.8385,0.1632,0.3589
33,0.8441,0.164,0.3589
34,0.8531,0.1626,0.3589
35,0.8552,0.1621,0.3587
36,0.8371,0.1621,0.3587
37,0.8364,0.1605,0.3585
38,0.8316,0.1612,0.3587
39,0.8586,0.1629,0.3588
40,0.8475,0.1627,0.3589
41,0.8468,0.1607,0.3584
42,0.8565,0.162,0.3588
43,0.824,0.1604,0.3587
44,0.8378,0.1632,0.359
45,0.8691,0.1647,0.3589
46,0.8378,0.1627,0.3589
47,0.8427,0.1628,0.3587
48,0.851,0.1624,0.3588
49,0.8559,0.1601,0.3585
50,0.8559,0.1626,0.3587
51,0.8461,0.1599,0.3585
52,0.8482,0.1622,0.3586
53,0.8503,0.1626,0.3587
54,0.8572,0.161,0.3585
55,0.8316,0.1621,0.3587
56,0.8468,0.1628,0.3588
57,0.8538,0.1609,0.3587
58,0.8441,0.1601,0.3583
59,0.8434,0.1612,0.3585
60,0.8524,0.1634,0.3589
61,0.8454,0.1635,0.359
62,0.8358,0.1595,0.3583
63,0.8454,0.1624,0.3588
64,0.8434,0.1622,0.3587
65,0.8461,0.164,0.359
66,0.8309,0.1618,0.3587
67,0.8441,0.1616,0.3587
68,0.8593,0.1634,0.359
69,0.8579,0.1617,0.3586
70,0.8454,0.1623,0.3587
71,0.8406,0.1618,0.3589
72,0.8482,0.1629,0.3589
73,0.86,0.1634,0.3587
74,0.8448,0.1635,0.3589
75,0.8531,0.1611,0.3586
76,0.8448,0.1622,0.3587
77,0.8344,0.1619,0.3587
78,0.8524,0.1631,0.359
79,0.8482,0.1629,0.3588
80,0.8468,0.1616,0.3585
81,0.8538,0.1616,0.3584
82,0.8593,0.1613,0.3586
83,0.8475,0.1634,0.3589
84,0.8441,0.1625,0.3588
85,0.8364,0.1612,0.3586
86,0.8448,0.1611,0.3585
87,0.8399,0.161,0.3586
88,0.8517,0.1611,0.3585
89,0.8565,0.1619,0.3586
90,0.8323,0.1629,0.3588
91,0.8559,0.1628,0.3587
92,0.8448,0.1632,0.3589
93,0.8607,0.1624,0.3586
94,0.8399,0.1633,0.3589
95,0.8399,0.1623,0.3587
96,0.8448,0.1625,0.3588
97,0.8413,0.1615,0.3587
98,0.833,0.1603,0.3585
99,0.8427,0.1626,0.3587
