,fkgl,bleu,sari
0,5.1742,0.2069,0.3597
1,5.1697,0.2075,0.36
2,5.1898,0.206,0.3598
3,5.1843,0.2059,0.3598
4,5.1913,0.207,0.3597
5,5.1859,0.2071,0.3599
6,5.1815,0.2063,0.3598
7,5.1848,0.2075,0.3599
8,5.1952,0.2055,0.3594
9,5.1779,0.2069,0.3596
10,5.1842,0.2072,0.3599
11,5.1855,0.2079,0.36
12,5.1838,0.2077,0.3599
13,5.1644,0.2065,0.3596
14,5.1848,0.2073,0.3597
15,5.1772,0.2071,0.36
16,5.1929,0.2058,0.3595
17,5.1787,0.2062,0.3598
18,5.1818,0.207,0.3598
19,5.184,0.2061,0.3598
20,5.1934,0.2062,0.3597
21,5.1907,0.2071,0.3599
22,5.1774,0.2064,0.3597
23,5.1692,0.2073,0.36
24,5.1847,0.2069,0.3599
25,5.1895,0.2064,0.3599
26,5.1885,0.2076,0.3601
27,5.1808,0.207,0.3598
28,5.1896,0.2068,0.3597
29,5.1753,0.2081,0.3601
30,5.18,0.2063,0.3597
31,5.1801,0.2069,0.36
32,5.175,0.2074,0.3599
33,5.1908,0.2074,0.36
34,5.1754,0.206,0.3597
35,5.182,0.2063,0.3598
36,5.1837,0.2077,0.36
37,5.1775,0.2067,0.3599
38,5.1817,0.2069,0.3599
39,5.1838,0.2075,0.36
40,5.1845,0.2065,0.3599
41,5.1667,0.2072,0.3599
42,5.1858,0.2067,0.3596
43,5.188,0.2051,0.3596
44,5.1913,0.2066,0.3599
45,5.1708,0.2076,0.36
46,5.1841,0.207,0.3599
47,5.1778,0.2066,0.3598
48,5.1633,0.2067,0.3598
49,5.1872,0.2068,0.3598
50,5.1808,0.2067,0.3599
51,5.1805,0.2064,0.3597
52,5.1772,0.2075,0.36
53,5.1727,0.207,0.3599
54,5.1837,0.2064,0.3597
55,5.184,0.2058,0.3596
56,5.17,0.2057,0.3596
57,5.173,0.2064,0.3598
58,5.1744,0.2063,0.3598
59,5.1619,0.2068,0.3599
60,5.1707,0.2078,0.36
61,5.1875,0.207,0.3598
62,5.1754,0.2072,0.3598
63,5.166,0.2065,0.3598
64,5.1905,0.2065,0.3597
65,5.1917,0.2065,0.3598
66,5.1777,0.2071,0.36
67,5.163,0.2058,0.3597
68,5.1646,0.2076,0.36
69,5.1803,0.2072,0.3598
70,5.1724,0.2065,0.3598
71,5.1771,0.2069,0.36
72,5.1816,0.2073,0.3599
73,5.1866,0.2075,0.3601
74,5.1765,0.2068,0.3599
75,5.184,0.2071,0.3599
76,5.177,0.2071,0.3599
77,5.1961,0.2064,0.36
78,5.1842,0.2067,0.3599
79,5.1792,0.2074,0.3599
80,5.19,0.2067,0.3599
81,5.1814,0.2064,0.3598
82,5.1803,0.2077,0.3599
83,5.1849,0.2066,0.3598
84,5.1784,0.2075,0.36
85,5.1863,0.2061,0.3597
86,5.1894,0.2067,0.3599
87,5.1862,0.2066,0.3597
88,5.1945,0.2069,0.3597
89,5.178,0.2078,0.3599
90,5.1816,0.2052,0.3596
91,5.1769,0.2065,0.3598
92,5.1772,0.2069,0.3599
93,5.1959,0.207,0.3598
94,5.1917,0.2076,0.3599
95,5.1866,0.2065,0.3599
96,5.1864,0.2071,0.3599
97,5.1664,0.2064,0.3597
98,5.1894,0.2072,0.3598
99,5.1665,0.2064,0.3597
