,fkgl,bleu,sari
0,2.5868,0.2108,0.3616
1,2.5863,0.2091,0.3617
2,2.6015,0.21100000000000002,0.3616
3,2.5637,0.2104,0.3619
4,2.5819,0.2125,0.3621
5,2.5844,0.2082,0.3612
6,2.596,0.2091,0.3615
7,2.5964,0.2115,0.3618
8,2.5652,0.2098,0.3615
9,2.607,0.2097,0.3617
10,2.6063,0.2107,0.3616
11,2.6003,0.2094,0.3613
12,2.5489,0.2139,0.3622
13,2.5939,0.2106,0.3619
14,2.5904,0.2112,0.3622
15,2.5823,0.2087,0.3617
16,2.5908,0.2124,0.36200000000000004
17,2.5867,0.2124,0.3621
18,2.5684,0.2113,0.3619
19,2.5941,0.2104,0.3618
20,2.5903,0.2113,0.3613
21,2.594,0.2133,0.3622
22,2.6217,0.2084,0.3614
23,2.5965,0.2108,0.3616
24,2.5627,0.2129,0.3621
25,2.5941,0.2104,0.3616
26,2.5696,0.2102,0.3618
27,2.5922,0.2087,0.3613
28,2.5903,0.2111,0.3619
29,2.5942,0.2098,0.3618
30,2.5864,0.2087,0.3617
31,2.5995,0.21100000000000002,0.36200000000000004
32,2.5817,0.2088,0.3615
33,2.5959,0.2081,0.3612
34,2.6131,0.2103,0.3616
35,2.5804,0.2103,0.3617
36,2.5732,0.2118,0.3619
37,2.5715,0.2095,0.3614
38,2.6038,0.2122,0.36200000000000004
39,2.6038,0.2109,0.3617
40,2.5908,0.2102,0.3615
41,2.5799,0.2101,0.3618
42,2.5908,0.2115,0.3621
43,2.6019,0.2107,0.3619
44,2.5799,0.209,0.3614
45,2.6044,0.2097,0.3618
46,2.6057,0.2098,0.3615
47,2.5594,0.2095,0.3615
48,2.5708,0.2128,0.36200000000000004
49,2.5889,0.2098,0.3614
50,2.5825,0.2113,0.3615
51,2.6142,0.2106,0.3619
52,2.59,0.2099,0.3616
53,2.5846,0.2098,0.3613
54,2.6051,0.21,0.3618
55,2.5746,0.2099,0.3616
56,2.5929,0.2118,0.3617
57,2.5921,0.2115,0.3617
58,2.5899,0.2095,0.3617
59,2.5895,0.21,0.3615
60,2.5776,0.2106,0.3618
61,2.57,0.207,0.3612
62,2.5878,0.2114,0.36200000000000004
63,2.5873,0.2108,0.3616
64,2.5761,0.2087,0.3618
65,2.5784,0.2098,0.3619
66,2.5818,0.2115,0.3618
67,2.5768,0.2107,0.3617
68,2.5747,0.2096,0.3614
69,2.5806,0.2106,0.3615
70,2.5815,0.2102,0.3616
71,2.5811,0.2103,0.3616
72,2.5771,0.2122,0.3621
73,2.5919,0.2114,0.3617
74,2.5693,0.2096,0.3615
75,2.6114,0.2096,0.3615
76,2.5529,0.2087,0.3613
77,2.593,0.2089,0.3616
78,2.5891,0.209,0.3612
79,2.5906,0.2086,0.3615
80,2.5738,0.2125,0.3621
81,2.604,0.2116,0.3616
82,2.5581,0.2113,0.3616
83,2.5762,0.2108,0.3619
84,2.5956,0.21100000000000002,0.3617
85,2.5775,0.2089,0.3613
86,2.5857,0.2109,0.3618
87,2.5688,0.2109,0.3618
88,2.5905,0.2098,0.3614
89,2.5906,0.2085,0.3615
90,2.5865,0.2103,0.3621
91,2.6077,0.2126,0.3619
92,2.5862,0.2104,0.36200000000000004
93,2.5764,0.2115,0.3618
94,2.5672,0.2085,0.3614
95,2.6002,0.2107,0.3615
96,2.569,0.2102,0.3617
97,2.5934,0.2103,0.3616
98,2.587,0.2115,0.3617
99,2.5803,0.2096,0.3615
