,fkgl,bleu,sari
0,4.106,0.1055,0.347
1,4.1211,0.1063,0.3473
2,4.1171,0.1059,0.3471
3,4.1377,0.1055,0.347
4,4.1206,0.1059,0.3471
5,4.1213,0.1063,0.347
6,4.1321,0.1061,0.347
7,4.1273,0.1054,0.3469
8,4.1291,0.1049,0.3468
9,4.1346,0.1052,0.347
10,4.1314,0.1066,0.347
11,4.1313,0.1058,0.3471
12,4.1022,0.1068,0.3471
13,4.1258,0.1068,0.3472
14,4.127,0.1063,0.3471
15,4.1145,0.1066,0.3471
16,4.1357,0.1066,0.3471
17,4.113,0.1061,0.347
18,4.1206,0.1068,0.3471
19,4.1329,0.1058,0.3472
20,4.1081,0.1062,0.3472
21,4.1251,0.106,0.347
22,4.1115,0.1063,0.347
23,4.1133,0.1061,0.347
24,4.1084,0.1055,0.3469
25,4.1183,0.1061,0.3471
26,4.1089,0.1046,0.3469
27,4.116,0.1057,0.347
28,4.1244,0.1059,0.3469
29,4.1348,0.1044,0.347
30,4.1335,0.1053,0.3469
31,4.1219,0.106,0.347
32,4.1117,0.1065,0.3471
33,4.1264,0.1053,0.3469
34,4.1257,0.1061,0.347
35,4.1324,0.106,0.347
36,4.1168,0.106,0.3471
37,4.1414,0.1058,0.347
38,4.1227,0.1043,0.3468
39,4.1082,0.1055,0.3469
40,4.1385,0.1058,0.3469
41,4.1177,0.106,0.3469
42,4.1109,0.1051,0.3469
43,4.1208,0.1056,0.3469
44,4.0988,0.1058,0.3469
45,4.1123,0.1054,0.3469
46,4.1181,0.1065,0.347
47,4.121,0.1062,0.3472
48,4.1175,0.106,0.3469
49,4.1404,0.1065,0.3472
50,4.1198,0.1064,0.3469
51,4.1162,0.1069,0.3472
52,4.138,0.1065,0.3471
53,4.1314,0.1049,0.3469
54,4.1317,0.1051,0.3469
55,4.1183,0.1057,0.3471
56,4.1071,0.1069,0.3472
57,4.1396,0.1063,0.347
58,4.13,0.1061,0.347
59,4.117,0.1065,0.347
60,4.1069,0.1066,0.3472
61,4.1397,0.1053,0.347
62,4.1346,0.1064,0.3472
63,4.113,0.1065,0.3471
64,4.1348,0.1067,0.3472
65,4.123,0.1055,0.347
66,4.1283,0.1062,0.3471
67,4.1289,0.1065,0.3472
68,4.1088,0.1072,0.3472
69,4.1186,0.1068,0.3472
70,4.1382,0.1069,0.3472
71,4.1344,0.1061,0.3471
72,4.1217,0.106,0.3471
73,4.1203,0.1063,0.3471
74,4.0969,0.1067,0.3472
75,4.1248,0.1062,0.3471
76,4.1125,0.1064,0.347
77,4.1612,0.1053,0.347
78,4.1534,0.1065,0.3471
79,4.1269,0.1055,0.347
80,4.1133,0.1068,0.3471
81,4.1142,0.1062,0.3471
82,4.1285,0.1054,0.3469
83,4.141,0.1058,0.347
84,4.1322,0.1059,0.347
85,4.1192,0.1048,0.3469
86,4.1235,0.1062,0.3471
87,4.1251,0.1053,0.3469
88,4.1077,0.1059,0.347
89,4.1096,0.1062,0.3471
90,4.1497,0.1052,0.3469
91,4.126,0.1059,0.3469
92,4.1353,0.1057,0.3471
93,4.094,0.1058,0.347
94,4.1141,0.1059,0.347
95,4.1281,0.1062,0.347
96,4.1303,0.1045,0.3468
97,4.1202,0.1054,0.347
98,4.123,0.106,0.347
99,4.1199,0.1059,0.347
