,fkgl,bleu,sari
0,-0.0493,0.0798,0.347
1,-0.0671,0.081,0.3472
2,-0.0643,0.0806,0.3471
3,-0.0829,0.0798,0.3471
4,-0.0848,0.0811,0.3473
5,-0.0773,0.0822,0.3474
6,-0.0904,0.0788,0.3469
7,-0.0727,0.0816,0.3475
8,-0.0736,0.0827,0.3474
9,-0.0848,0.0805,0.3471
10,-0.0708,0.0801,0.347
11,-0.0568,0.0801,0.3472
12,-0.0587,0.0798,0.347
13,-0.0857,0.0789,0.347
14,-0.0727,0.0798,0.3471
15,-0.0783,0.0809,0.347
16,-0.0531,0.0803,0.3471
17,-0.054,0.0814,0.3473
18,-0.0615,0.0785,0.3467
19,-0.0577,0.0809,0.3472
20,-0.0801,0.0799,0.347
21,-0.0568,0.0802,0.3472
22,-0.081,0.0809,0.3471
23,-0.0577,0.081,0.3473
24,-0.0661,0.0822,0.3474
25,-0.068,0.0799,0.347
26,-0.0503,0.0799,0.3471
27,-0.0605,0.0814,0.3473
28,-0.068,0.0801,0.3471
29,-0.0699,0.0807,0.3472
30,-0.082,0.0816,0.3473
31,-0.0857,0.0801,0.3471
32,-0.0465,0.0813,0.3473
33,-0.0755,0.0808,0.3472
34,-0.0708,0.0805,0.3471
35,-0.0783,0.0791,0.3469
36,-0.0727,0.08,0.347
37,-0.054,0.0822,0.3474
38,-0.054,0.0813,0.3472
39,-0.054,0.0803,0.3471
40,-0.0689,0.0783,0.3467
41,-0.0587,0.0786,0.3468
42,-0.0708,0.0812,0.3472
43,-0.0671,0.0795,0.3471
44,-0.0708,0.0825,0.3475
45,-0.0848,0.0807,0.3471
46,-0.0773,0.081,0.3472
47,-0.0755,0.0808,0.3471
48,-0.082,0.0804,0.3471
49,-0.0904,0.0788,0.3468
50,-0.0549,0.0806,0.3471
51,-0.0596,0.0807,0.3472
52,-0.0727,0.0803,0.3471
53,-0.0624,0.0793,0.3469
54,-0.0465,0.0817,0.3473
55,-0.0838,0.0793,0.347
56,-0.0727,0.0803,0.3471
57,-0.0559,0.0823,0.3475
58,-0.0736,0.0779,0.3468
59,-0.0857,0.0801,0.3472
60,-0.0699,0.0796,0.347
61,-0.0605,0.0807,0.3472
62,-0.0446,0.0807,0.3472
63,-0.0605,0.0819,0.3472
64,-0.0773,0.0804,0.3471
65,-0.0633,0.0803,0.3471
66,-0.0661,0.0797,0.347
67,-0.0652,0.0802,0.3472
68,-0.068,0.0787,0.3469
69,-0.0633,0.0813,0.3473
70,-0.0671,0.0794,0.347
71,-0.0371,0.08,0.347
72,-0.0652,0.0798,0.3471
73,-0.0736,0.0804,0.3471
74,-0.0596,0.0809,0.3471
75,-0.0848,0.0795,0.3469
76,-0.0605,0.0795,0.347
77,-0.0503,0.0801,0.3471
78,-0.0577,0.081,0.3471
79,-0.0773,0.081,0.3471
80,-0.0699,0.0798,0.347
81,-0.0484,0.08,0.347
82,-0.0615,0.0814,0.3472
83,-0.0699,0.0799,0.347
84,-0.0624,0.0812,0.3473
85,-0.0736,0.0797,0.3469
86,-0.0727,0.0822,0.3475
87,-0.0717,0.081,0.3473
88,-0.0661,0.0804,0.3471
89,-0.0755,0.079,0.3469
90,-0.039,0.0825,0.3474
91,-0.0792,0.0797,0.3471
92,-0.0671,0.0804,0.3472
93,-0.0689,0.081,0.3473
94,-0.0661,0.0805,0.3471
95,-0.0745,0.0798,0.347
96,-0.0633,0.0788,0.347
97,-0.0848,0.0797,0.347
98,-0.0671,0.0811,0.3473
99,-0.0717,0.0813,0.3473
