,fkgl,bleu,sari
0,0.9582,0.1846,0.3611
1,0.9667,0.1859,0.3612
2,0.9709,0.1838,0.3608
3,0.9735,0.1851,0.3611
4,0.9541,0.1845,0.3608
5,0.9548,0.1868,0.3611
6,0.997,0.1856,0.361
7,0.9393,0.1841,0.3607
8,0.9648,0.1814,0.3603
9,0.9671,0.1839,0.3608
10,0.9709,0.1843,0.3607
11,0.949,0.1843,0.3609
12,0.9481,0.1836,0.361
13,0.9372,0.1843,0.361
14,0.9697,0.1861,0.3608
15,0.9688,0.1843,0.3609
16,0.9573,0.1881,0.3612
17,0.9782,0.1847,0.361
18,0.9657,0.184,0.3609
19,0.9563,0.1826,0.3605
20,0.9501,0.1862,0.3613
21,0.9522,0.18,0.3605
22,0.9416,0.1828,0.3606
23,0.9243,0.183,0.3608
24,0.9578,0.1851,0.3611
25,0.9675,0.1859,0.3612
26,0.9501,0.1839,0.3609
27,0.9736,0.1834,0.3608
28,0.9518,0.1823,0.3605
29,0.9357,0.1823,0.3604
30,0.9717,0.185,0.3611
31,0.9415,0.1839,0.3609
32,0.9586,0.1835,0.3608
33,0.9732,0.1857,0.3611
34,0.977,0.1829,0.3605
35,0.9849,0.184,0.3605
36,0.9619,0.184,0.3608
37,0.9972,0.1856,0.3609
38,0.9677,0.1839,0.3608
39,0.9513,0.1849,0.3609
40,0.9916,0.1812,0.3605
41,0.9814,0.1831,0.3605
42,0.951,0.1846,0.3608
43,0.9593,0.1844,0.361
44,0.9878,0.1838,0.3607
45,0.9674,0.1833,0.3607
46,0.9589,0.1835,0.3608
47,0.9462,0.1861,0.361
48,0.9843,0.1841,0.3609
49,0.9614,0.1812,0.3604
50,0.9982,0.1835,0.3609
51,0.9721,0.185,0.3611
52,0.94,0.1819,0.3606
53,0.9552,0.1838,0.3605
54,0.996,0.1843,0.3607
55,0.957,0.1852,0.3608
56,0.955,0.1868,0.3612
57,0.9467,0.1849,0.361
58,0.9494,0.185,0.3609
59,0.9401,0.1839,0.3607
60,0.9344,0.1868,0.3611
61,0.9514,0.1849,0.3609
62,0.9546,0.1853,0.3611
63,0.9803,0.1847,0.3608
64,0.9258,0.1863,0.3613
65,0.9852,0.1863,0.3612
66,0.9896,0.1837,0.361
67,0.9287,0.185,0.3607
68,0.9491,0.183,0.3604
69,0.9561,0.1831,0.3609
70,0.9475,0.1856,0.3612
71,0.9352,0.1836,0.3607
72,0.9617,0.1866,0.3613
73,0.9845,0.1841,0.3606
74,0.9574,0.1855,0.361
75,0.9214,0.1837,0.3605
76,0.9421,0.1854,0.3611
77,0.9684,0.1846,0.3609
78,0.9453,0.1846,0.3607
79,0.964,0.1828,0.3607
80,0.9686,0.1843,0.3606
81,0.9453,0.185,0.361
82,0.9597,0.1838,0.3608
83,0.9745,0.1819,0.3603
84,0.9697,0.1828,0.3608
85,0.973,0.1864,0.3613
86,0.9735,0.1858,0.3613
87,0.9548,0.1848,0.3609
88,0.9487,0.1829,0.3606
89,0.9781,0.1857,0.361
90,0.944,0.1834,0.3606
91,0.9629,0.1833,0.3609
92,0.9609,0.185,0.3609
93,0.9526,0.1837,0.3608
94,0.9728,0.1825,0.3608
95,0.9571,0.1836,0.3607
96,0.9615,0.1856,0.3609
97,0.9843,0.1847,0.3608
98,0.9119,0.1837,0.3607
99,0.9713,0.1851,0.3609
