,fkgl,bleu,sari
0,0.1742,0.1715,0.3605
1,0.1441,0.1712,0.3602
2,0.1671,0.1718,0.3605
3,0.1512,0.1716,0.3604
4,0.1742,0.1714,0.3605
5,0.1671,0.1699,0.3602
6,0.1647,0.1717,0.3605
7,0.1647,0.1697,0.3602
8,0.156,0.1699,0.3603
9,0.1687,0.1726,0.3605
10,0.1567,0.1708,0.3604
11,0.1536,0.1712,0.3603
12,0.1655,0.171,0.3604
13,0.1647,0.1729,0.3606
14,0.1718,0.1709,0.3605
15,0.1766,0.1704,0.3602
16,0.1726,0.1724,0.3606
17,0.1726,0.1697,0.3603
18,0.1702,0.1712,0.3605
19,0.156,0.1679,0.3601
20,0.1647,0.1717,0.3606
21,0.1679,0.172,0.3606
22,0.1758,0.1688,0.3602
23,0.171,0.171,0.3605
24,0.1536,0.1718,0.3606
25,0.1544,0.1729,0.3608
26,0.1591,0.1696,0.3602
27,0.1695,0.1724,0.3606
28,0.1814,0.1717,0.3604
29,0.1615,0.1697,0.3601
30,0.1663,0.1702,0.3602
31,0.183,0.1709,0.3604
32,0.1718,0.1706,0.3603
33,0.1639,0.1724,0.3606
34,0.1774,0.1712,0.3604
35,0.1567,0.1698,0.3602
36,0.1671,0.1714,0.3604
37,0.1702,0.1712,0.3604
38,0.1591,0.1723,0.3605
39,0.1583,0.1709,0.3604
40,0.1631,0.1688,0.3601
41,0.1774,0.1724,0.3606
42,0.1575,0.1714,0.3606
43,0.1583,0.1721,0.3606
44,0.1464,0.1698,0.3602
45,0.1631,0.171,0.3605
46,0.1607,0.1716,0.3605
47,0.1575,0.1718,0.3606
48,0.1552,0.1702,0.3602
49,0.1702,0.1703,0.3603
50,0.148,0.1719,0.3604
51,0.1607,0.1697,0.3601
52,0.1639,0.1728,0.3606
53,0.179,0.1729,0.3606
54,0.1457,0.1711,0.3605
55,0.1504,0.1735,0.3606
56,0.1575,0.1703,0.3604
57,0.1663,0.1699,0.3602
58,0.1671,0.1687,0.3601
59,0.1814,0.1702,0.3604
60,0.1734,0.1704,0.3604
61,0.1726,0.1715,0.3604
62,0.1695,0.1705,0.3604
63,0.1726,0.1709,0.3605
64,0.1702,0.1725,0.3607
65,0.156,0.1729,0.3608
66,0.1464,0.1684,0.3602
67,0.1552,0.1709,0.3605
68,0.1623,0.1683,0.36
69,0.1575,0.1705,0.3603
70,0.1615,0.1695,0.3602
71,0.1679,0.172,0.3605
72,0.187,0.16899999999999998,0.3603
73,0.1734,0.1706,0.3604
74,0.1567,0.1714,0.3604
75,0.1575,0.1718,0.3606
76,0.1607,0.1712,0.3605
77,0.1615,0.1704,0.3604
78,0.1647,0.1713,0.3605
79,0.1663,0.172,0.3604
80,0.1631,0.1717,0.3606
81,0.1591,0.171,0.3605
82,0.1742,0.1711,0.3604
83,0.1655,0.1715,0.3605
84,0.1631,0.1694,0.3602
85,0.1536,0.1722,0.3608
86,0.1591,0.1692,0.3602
87,0.1814,0.1718,0.3605
88,0.1536,0.1715,0.3605
89,0.175,0.1694,0.3602
90,0.1575,0.172,0.3604
91,0.1631,0.1712,0.3605
92,0.1679,0.1715,0.3603
93,0.1599,0.1709,0.3606
94,0.1583,0.1721,0.3605
95,0.1639,0.1716,0.3606
96,0.1663,0.1717,0.3605
97,0.152,0.1703,0.3601
98,0.1782,0.1711,0.3605
99,0.1702,0.1717,0.3604
