,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari
10,Hybrid,10,3.529767,0.10684000000000003,0.30026900000000006,Hybrid,10,3.9090369999999943,0.10717800000000005,0.30021100000000017,Hybrid,10,3.744616999999999,0.10697100000000001,0.3005889999999997,Hybrid,10,3.262697,0.10596700000000002,0.30079499999999965,Hybrid,10,3.548272999999999,0.10627999999999994,0.3006279999999996,Hybrid,10,3.8973590000000002,0.10637599999999997,0.3006319999999997
11,Hybrid,20,3.030922,0.105411,0.3005989999999997,Hybrid,20,3.789757999999996,0.10601400000000005,0.3004129999999998,Hybrid,20,3.4597309999999997,0.10560199999999999,0.30120700000000034,Hybrid,20,2.495573,0.10363699999999998,0.3016370000000002,Hybrid,20,3.063270999999999,0.10450200000000004,0.3013370000000004,Hybrid,20,3.7622129999999983,0.10451599999999997,0.3012740000000004
12,Hybrid,30,2.534333,0.10416900000000001,0.30095199999999983,Hybrid,30,3.672574000000001,0.10477500000000005,0.3006449999999997,Hybrid,30,3.169605,0.10429599999999997,0.30181300000000005,Hybrid,30,1.7347050000000004,0.10136300000000001,0.30246999999999985,Hybrid,30,2.579344999999999,0.102528,0.30202599999999974,Hybrid,30,3.6773530000000005,0.102721,0.30187999999999987
13,Hybrid,40,2.4288610000000013,0.10237,0.30122500000000035,Hybrid,40,3.558026000000001,0.10323599999999997,0.3008369999999997,Hybrid,40,2.887054000000001,0.10298300000000003,0.3024249999999995,Hybrid,40,1.3706720000000003,0.09862700000000002,0.3032520000000002,Hybrid,40,2.4797980000000006,0.10031199999999998,0.3026610000000002,Hybrid,40,3.8329099999999996,0.10062399999999999,0.302444
14,Hybrid,50,1.9333660000000004,0.10030199999999997,0.3015240000000004,Hybrid,50,3.444907,0.10150399999999998,0.3010700000000001,Hybrid,50,2.5985209999999994,0.10152700000000003,0.30305400000000043,Hybrid,50,0.6160549999999999,0.09565699999999998,0.3041379999999998,Hybrid,50,2.002954000000001,0.09859699999999999,0.3033919999999999,Hybrid,50,3.749804,0.098727,0.30308000000000024
15,Hybrid,60,1.8316519999999992,0.09808200000000003,0.301821,Hybrid,60,3.332882999999998,0.09951199999999999,0.30130600000000035,Hybrid,60,2.3168379999999993,0.10027100000000001,0.3036359999999997,Hybrid,60,0.25755999999999996,0.09250599999999999,0.3049509999999999,Hybrid,60,1.8426280000000004,0.09632100000000002,0.30401699999999965,Hybrid,60,3.6218830000000004,0.09689799999999998,0.3037059999999996
16,Hybrid,70,1.341286,0.09591499999999999,0.3021609999999996,Hybrid,70,3.613888999999999,0.09741499999999995,0.3014850000000004,Hybrid,70,2.029199,0.09888100000000004,0.3042560000000001,Hybrid,70,-0.48050100000000007,0.08946099999999997,0.3057430000000001,Hybrid,70,1.421686,0.09473700000000003,0.3046670000000002,Hybrid,70,3.5036890000000005,0.09479800000000002,0.3043040000000002
17,Hybrid,80,1.2402740000000005,0.09375399999999999,0.3024449999999997,Hybrid,80,3.5055260000000006,0.09561200000000004,0.3017270000000001,Hybrid,80,1.7429800000000006,0.097583,0.304879,Hybrid,80,-0.8312890000000001,0.08674599999999998,0.3066139999999998,Hybrid,80,1.3238299999999998,0.09271500000000003,0.3053329999999997,Hybrid,80,3.466860999999999,0.09284,0.30492499999999995
18,Hybrid,90,0.7529539999999999,0.09173300000000002,0.30276200000000036,Hybrid,90,3.398517,0.09381999999999996,0.30193399999999987,Hybrid,90,1.454689,0.09621199999999996,0.3054569999999996,Hybrid,90,-1.5662240000000005,0.08373800000000005,0.3073800000000003,Hybrid,90,0.8397780000000001,0.09063700000000001,0.30598000000000025,Hybrid,90,3.537020000000001,0.09110300000000005,0.3055219999999999
19,Hybrid,100,0.6556409999999999,0.08958699999999999,0.3030590000000003,Hybrid,100,3.292852000000001,0.09182199999999999,0.30213799999999963,Hybrid,100,1.1683000000000012,0.09480000000000002,0.3061000000000005,Hybrid,100,-1.9054679999999997,0.08052300000000001,0.30818699999999966,Hybrid,100,0.7462179999999999,0.08836899999999995,0.3065939999999999,Hybrid,100,3.4789679999999974,0.08903199999999999,0.3061010000000003
